row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VNĐTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VNĐTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,955.135.230.000,141.619.520.052,5.940.860.165,316.638.749.283,1.419.334.359.500,955135230000.0,141619520052.0,5940860165.0,316638749283.0,1419334359500.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,255.000.000.000,178.430.536.635,-,-,433.430.536.635,255000000000.0,178430536635.0,,,433430536635.0
Hoán đổi cổ phiếu,Năm trước > Hoán đổi cổ phiếu,Hoán đổi cổ phiếu,129.557.560.000,102.742.048.000,-,-,232.299.608.000,129557560000.0,102742048000.0,,,232299608000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,39.759.184.217,39.759.184.217,,,,39759184217.0,39759184217.0
Chia cổ tức,Năm trước > Chia cổ tức,Chia cổ tức,-,-,-,(60.946.545.834),(60.946.545.834),,,,-60946545834.0,-60946545834.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(423.000.000),(423.000.000),,,,-423000000.0,-423000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.339.692.790.000,422.792.104.687,5.940.860.165,295.028.387.666,2.063.454.142.518,1339692790000.0,422792104687.0,5940860165.0,295028387666.0,2063454142518.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.339.692.790.000,422.792.104.687,5.940.860.165,295.028.387.666,2.063.454.142.518,1339692790000.0,422792104687.0,5940860165.0,295028387666.0,2063454142518.0
Phát hành cổ phiếu thu bằng tiền (*),Năm nay > Phát hành cổ phiếu thu bằng tiền (*),Phát hành cổ phiếu thu bằng tiền (*),76.028.780.000,69.545.042.374,-,-,145.573.822.374,76028780000.0,69545042374.0,,,145573822374.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,40.702.271.483,40.702.271.483,,,,40702271483.0,40702271483.0
Chia cổ tức,Năm nay > Chia cổ tức,Chia cổ tức,-,-,-,(63.062.812.282),(63.062.812.282),,,,-63062812282.0,-63062812282.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(5.830.189.059),(5.830.189.059),,,,-5830189059.0,-5830189059.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.415.721.570.000,492.337.147.061,5.940.860.165,266.837.657.808,2.180.837.235.034,1415721570000.0,492337147061.0,5940860165.0,266837657808.0,2180837235034.0
