row_label_raw,row_label_full,Công ty Cổ phần NamLong VCD > Công ty TNHH Mộtthành viên Đầu tư Xâydựng Phát triển NamKhang > Công ty Cổ phần Pháttriển Nam Long,Công ty con,Cho vayChi phí lãi vayThanh lý côngcụ dụng cụ > Phải thu thu nhập cổ tứcHợp tác kinhdoanh > Phải thu cổ tứcĐặt cọc thuếvăn phòng,201.576.890.41162.536.225.7452.197.028.413 > 22.040.000.000- > 795.046.500-,201.576.890.41138.586.505.7432.197.028.413 > -211.276.056.102 > -1.431.051.275,numeric__Công ty con,numeric__Cho vayChi phí lãi vayThanh lý côngcụ dụng cụ > Phải thu thu nhập cổ tứcHợp tác kinhdoanh > Phải thu cổ tứcĐặt cọc thuếvăn phòng,numeric__201.576.890.41162.536.225.7452.197.028.413 > 22.040.000.000- > 795.046.500-,numeric__201.576.890.41138.586.505.7432.197.028.413 > -211.276.056.102 > -1.431.051.275
Công ty Cổ phần BắtĐộng Sản Nguyên Sơn,Công ty Cổ phần BắtĐộng Sản Nguyên Sơn,Công ty Cổ phần BắtĐộng Sản Nguyên Sơn,Công ty con,Trả trước tiềnmua đất,2.079.195.184,2.079.195.184,,,2079195184.0,2079195184.0
Công ty Cổ phần NamLong - Hồng Phát,Công ty Cổ phần NamLong - Hồng Phát,Công ty Cổ phần NamLong - Hồng Phát,Công ty con,Cho vay,6.894.682.000,7.344.682.000,,,6894682000.0,7344682000.0
Công ty TNHH ASPLPLB - Nam Long,Công ty TNHH ASPLPLB - Nam Long,Công ty TNHH ASPLPLB - Nam Long,Công tyliên doanh,Tạm ứngChi trả hộ,113.404.0951.984.043.120,1.632.043.120113.404.095,,,1.1340409519840431e+18,1.6320431201134042e+18
Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,Công ty con,Thu hồi vốn góp BCC,18.000.000.000,57.702.732.804,,,18000000000.0,57702732804.0
Công ty Cổ phần Dịch vụ Nam Long,Công ty Cổ phần Dịch vụ Nam Long,Công ty Cổ phần Dịch vụ Nam Long,Công ty con,Cổ tứcThanh lý tài sản cố định,327.800.000165.000.000,327.800.000165.000.000,,,3.27800000165e+17,3.27800000165e+17
Công ty TNHH Mộtthành viên Sản giaodịch Bất động sảnNam Long,Công ty TNHH Mộtthành viên Sản giaodịch Bất động sảnNam Long,Công ty TNHH Mộtthành viên Sản giaodịch Bất động sảnNam Long,Công ty con,Chi trả hộ,-,8.771.994,,,,8771994.0
Công ty TNHHNam Long Mi Pha,Công ty TNHHNam Long Mi Pha,Công ty TNHHNam Long Mi Pha,Bên liên quan,Tạm ứng,-,505.668.846,,,,505668846.0
Ông Nguyễn XuânQuang,Ông Nguyễn XuânQuang,Ông Nguyễn XuânQuang,Chủ tịch,Tạm ứngmua cổ phần,1.999.963.309,13.350.000.000,,,1999963309.0,13350000000.0
,,,,,320.709.278.777,538.296.829.987,,,320709278777.0,538296829987.0
