row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Quyền sửdụng đất,VNĐTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Quyền sửdụng đất,numeric__VNĐTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm và số cuối năm,Nguyên giá: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,5.425.505.713,598.738.357,6.024.244.070,5425505713.0,598738357.0,6024244070.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(2.291.376.279),-,(2.291.376.279),-2291376279.0,,-2291376279.0
Tăng trong năm,Giá trị hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,(184.360.556),-,(184.360.556),-184360556.0,,-184360556.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(2.475.736.835),-,(2.475.736.835),-2475736835.0,,-2475736835.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.134.129.434,598.738.357,3.732.867.791,3134129434.0,598738357.0,3732867791.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.949.768.878,598.738.357,3.548.507.235,2949768878.0,598738357.0,3548507235.0
Trong đó:Tài sản sử dụng để cảm cố/thế chấp (Thuyết minh số 21),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cảm cố/thế chấp (Thuyết minh số 21),Trong đó:Tài sản sử dụng để cảm cố/thế chấp (Thuyết minh số 21),2.949.768.878,598.738.357,3.548.507.235,2949768878.0,598738357.0,3548507235.0
