row_label_raw,row_label_full,Đầu tư vào công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên doanh(Thuyết minh số 14.2) > Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 14.3),Số cuối năm > 2.330.229.267.848 > 22.400.000.000 > 216.303.216.727,VND Số đầu năm > 1.494.232.375.800 > 157.184.000.000 > 236.803.715.161,numeric__Số cuối năm > 2.330.229.267.848 > 22.400.000.000 > 216.303.216.727,numeric__VND Số đầu năm > 1.494.232.375.800 > 157.184.000.000 > 236.803.715.161
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,-,(1.711.785.360),,-1711785360.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.568.932.484.575,1.886.508.305.601,2568932484575.0,1886508305601.0
