row_label_raw,row_label_full,Bên liên quan > Phải trả người bán (Thuyết minh số 16) > Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang > Công ty Cổ phần Dịch vụ Nam Long > Công ty TNHH Một thành viên Sàn giao dịch Bất động sản Nam Long > Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên > Công ty Cổ phần Phát triển Căn hộ Nam Long,Mối quan hệ > Phải trả người bán (Thuyết minh số 16) > Công ty con > Bên liên quan > Công ty con,Nội dung nghiệp vụ > Phải trả người bán (Thuyết minh số 16) > Phí dịch vụ xây dựng > Phí dịch vụ quản lý > Phí hoa hồng > Phí dịch vụ xây dựng > Phí dịch vụ tư vấn quản lý,Số cuối năm > Phải trả người bán (Thuyết minh số 16) > 206.288.604.200 > 1.815.349.656 > 16.499.281.015 > 456.485.097 > 89.515.853.330,VND Số đầu năm > Phải trả người bán (Thuyết minh số 16) > 163.864.933.200 > 2.552.618.148 > 16.997.151.257 > 65.722.850 > 24.299.664.979,numeric__Mối quan hệ > Phải trả người bán (Thuyết minh số 16) > Công ty con > Bên liên quan > Công ty con,numeric__Nội dung nghiệp vụ > Phải trả người bán (Thuyết minh số 16) > Phí dịch vụ xây dựng > Phí dịch vụ quản lý > Phí hoa hồng > Phí dịch vụ xây dựng > Phí dịch vụ tư vấn quản lý,numeric__Số cuối năm > Phải trả người bán (Thuyết minh số 16) > 206.288.604.200 > 1.815.349.656 > 16.499.281.015 > 456.485.097 > 89.515.853.330,numeric__VND Số đầu năm > Phải trả người bán (Thuyết minh số 16) > 163.864.933.200 > 2.552.618.148 > 16.997.151.257 > 65.722.850 > 24.299.664.979
Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Chủ tịch,Mua đất,3.165.600.000,3.165.600.000,,,3165600000.0,3165600000.0
Bà Nguyễn Thị Ngọc Lan,Bà Nguyễn Thị Ngọc Lan,Bà Nguyễn Thị Ngọc Lan,Bên liên quan,Mua đất,4.552.800.000,4.552.800.000,,,4552800000.0,4552800000.0
,,,,,322.293.973.298,215.498.490.434,,,322293973298.0,215498490434.0
