row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,VNDNăm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__VNDNăm trước > Các khoản chi phí bán hàng phát sinh trong năm
- Chi phí hoa hồng bán hàng,- Chi phí hoa hồng bán hàng,- Chi phí hoa hồng bán hàng,50.549.175.250,30.022.521.170,50549175250.0,30022521170.0
"- Chi phí tiếp thị, nhà mẫu","- Chi phí tiếp thị, nhà mẫu","- Chi phí tiếp thị, nhà mẫu",22.166.019.834,9.846.856.135,22166019834.0,9846856135.0
- Chi phí nhân viên,- Chi phí nhân viên,- Chi phí nhân viên,15.465.984.997,12.308.211.903,15465984997.0,12308211903.0
- Chi phí bán hàng khác,- Chi phí bán hàng khác,- Chi phí bán hàng khác,32.255.570.802,19.285.253.345,32255570802.0,19285253345.0
,,,120.436.750.883,71.462.842.553,120436750883.0,71462842553.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
- Chi phí lương nhân viên,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > - Chi phí lương nhân viên,- Chi phí lương nhân viên,49.653.228.004,42.857.389.649,49653228004.0,42857389649.0
- Chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,34.989.411.348,26.174.692.861,34989411348.0,26174692861.0
,,,84.642.639.352,69.032.082.510,84642639352.0,69032082510.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,205.079.390.235,140.494.925.063,205079390235.0,140494925063.0
