row_label_raw,row_label_full,Bên cho vay,Ngày 31 tháng12 năm 2015VNĐ,Ngày đáo hạn,Mục đíchvay,Lãi suất%/năm,numeric__Ngày 31 tháng12 năm 2015VNĐ,numeric__Ngày đáo hạn,numeric__Mục đíchvay,numeric__Lãi suất%/năm
Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,,,,
Hợp đồng tín dụng số0031/2015/HDTD-DN(*),Ngân hàng Thương mại Cổ phần Phương Đông > Hợp đồng tín dụng số0031/2015/HDTD-DN(*),Hợp đồng tín dụng số0031/2015/HDTD-DN(*),117.270.745.000,Từ ngày 26 tháng9 năm 2016 đếnngày 25 tháng 5năm 2018,Tài trợ cácdự ánEhome,"9,8",117270745000.0,,,9.8
Hợp đồng tín dụng số0088/2015/HDTD-DN(**),Ngân hàng Thương mại Cổ phần Phương Đông > Hợp đồng tín dụng số0088/2015/HDTD-DN(**),Hợp đồng tín dụng số0088/2015/HDTD-DN(**),150.000.000.000,Từ ngày 12 tháng10 năm 2017 đếnngày 12 tháng 10năm 2022,Tài trợmua mớidự án,"9,5",150000000000.0,,,9.5
,,,267.270.745.000,,,,267270745000.0,,,
Trong đó :Vay dài hạn đến hạn trả,Ngân hàng Thương mại Cổ phần Phương Đông > Trong đó :Vay dài hạn đến hạn trả,Trong đó :Vay dài hạn đến hạn trả,29.322.000.000,,,,29322000000.0,,,
Vay dài hạn,Ngân hàng Thương mại Cổ phần Phương Đông > Vay dài hạn,Vay dài hạn,237.948.745.000,,,,237948745000.0,,,
