row_label_raw,row_label_full,col_0,Số cuối năm,VNĐ Số đầu năm,numeric__Số cuối năm,numeric__VNĐ Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Vay ngắn hạn từ các tổ chức,Ngắn hạn > Vay ngắn hạn từ các tổ chức,Vay ngắn hạn từ các tổ chức,-,10.000.000.000,,10000000000.0
Vay ngắn hạn từ cá nhân (Thuyết minh số 21.1),Ngắn hạn > Vay ngắn hạn từ cá nhân (Thuyết minh số 21.1),Vay ngắn hạn từ cá nhân (Thuyết minh số 21.1),57.211.614.000,62.935.323.000,57211614000.0,62935323000.0
Vay ngắn hạn từ bên liên quan(Thuyết minh số 21.2 và 30),Ngắn hạn > Vay ngắn hạn từ bên liên quan(Thuyết minh số 21.2 và 30),Vay ngắn hạn từ bên liên quan(Thuyết minh số 21.2 và 30),62.166.612.604,7.297.955.000,62166612604.0,7297955000.0
Vay ngắn hạn từ ngân hàng(Thuyết minh số 21.3),Ngắn hạn > Vay ngắn hạn từ ngân hàng(Thuyết minh số 21.3),Vay ngắn hạn từ ngân hàng(Thuyết minh số 21.3),13.750.000.000,-,13750000000.0,
Vay dài hạn đến hạn trả(Thuyết minh số 21.4) (*),Ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 21.4) (*),Vay dài hạn đến hạn trả(Thuyết minh số 21.4) (*),29.322.000.000,39.056.977.500,29322000000.0,39056977500.0
Nợ trái phiếu đến hạn trả (i) (*),Ngắn hạn > Nợ trái phiếu đến hạn trả (i) (*),Nợ trái phiếu đến hạn trả (i) (*),94.000.000.000,-,94000000000.0,
,,,256.450.226.604,119.290.255.500,256450226604.0,119290255500.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vay dài hạn từ ngân hàng(Thuyết minh số 21.4),Dài hạn > Vay dài hạn từ ngân hàng(Thuyết minh số 21.4),Vay dài hạn từ ngân hàng(Thuyết minh số 21.4),267.270.745.000,114.738.133.500,267270745000.0,114738133500.0
Vay dài hạn đến hạn trả(Thuyết minh số 21.4) (*),Dài hạn > Vay dài hạn đến hạn trả(Thuyết minh số 21.4) (*),Vay dài hạn đến hạn trả(Thuyết minh số 21.4) (*),29.322.000.000,39.056.977.500,29322000000.0,39056977500.0
Vay dài hạn (Thuyết minh số 21.4),Dài hạn > Vay dài hạn (Thuyết minh số 21.4),Vay dài hạn (Thuyết minh số 21.4),237.948.745.000,75.681.156.000,237948745000.0,75681156000.0
Trái phiếu phát hành (i),Dài hạn > Trái phiếu phát hành (i),Trái phiếu phát hành (i),244.000.000.000,350.000.000.000,244000000000.0,350000000000.0
Nợ dài hạn đến hạn trả (i) (*),Dài hạn > Nợ dài hạn đến hạn trả (i) (*),Nợ dài hạn đến hạn trả (i) (*),94.000.000.000,-,94000000000.0,
Nợ dài hạn,Dài hạn > Nợ dài hạn,Nợ dài hạn,150.000.000.000,350.000.000.000,150000000000.0,350000000000.0
,,,387.948.745.000,425.681.156.000,387948745000.0,425681156000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,644.398.971.604,544.971.411.500,644398971604.0,544971411500.0
