row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Báo cáo kết quả hoạt động kinh doanh riêng,numeric__Báo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,5.172.990.582,5.582.411.294,(409.420.712),200.126.671,5172990582.0,5582411294.0,-409420712.0,200126671.0
Chi phí lãi vay,Tài sản thuế thu nhập hoãn lại > Chi phí lãi vay,Chi phí lãi vay,855.047.802,940.552.585,(85.504.783),1.164.158.128,855047802.0,940552585.0,-85504783.0,1164158128.0
Dự phòng,Tài sản thuế thu nhập hoãn lại > Dự phòng,Dự phòng,-,376.592.779,(376.592.779),-,,376592779.0,-376592779.0,
Chênh lệch giá vốn hàng bán,Tài sản thuế thu nhập hoãn lại > Chênh lệch giá vốn hàng bán,Chênh lệch giá vốn hàng bán,526.431.061,-,526.431.061,-,526431061.0,,526431061.0,
,,,6.554.469.445,6.899.556.658,,,6554469445.0,6899556658.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Lỗ thuế hoãn lại,Thuế thu nhập hoãn lại phải trả > Lỗ thuế hoãn lại,Lỗ thuế hoãn lại,(2.696.372.478),(2.900.657.405),204.284.927,(67.181.790),-2696372478.0,-2900657405.0,204284927.0,-67181790.0
Chênh lệch giá vốn hàng bán,Thuế thu nhập hoãn lại phải trả > Chênh lệch giá vốn hàng bán,Chênh lệch giá vốn hàng bán,(6.345.480.360),(8.220.111.536),1.874.631.176,-,-6345480360.0,-8220111536.0,1874631176.0,
,,,(9.041.852.838),(11.120.768.941),,,-9041852838.0,-11120768941.0,,
Thu nhập thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,1.733.828.890,1.297.103.009,,,1733828890.0,1297103009.0
