row_label_raw,row_label_full,Công ty con,Tỷ lệ sở hữu %,Giá mua của khoản đầu tư VND,Địa điểm,Ngành nghề kinh doanh,numeric__Tỷ lệ sở hữu %,numeric__Giá mua của khoản đầu tư VND,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Công ty Cổ phần Phát triển Cần hộ Nam Long,Công ty Cổ phần Phát triển Cần hộ Nam Long,Công ty Cổ phần Phát triển Cần hộ Nam Long,"97,14",286.698.033.000,Tp. Hồ Chí Minh,Xây dựng và bất động sản,97.14,286698033000.0,,
Công ty Cổ phần Bắt Động Sản Nguyên Sơn (i),Công ty Cổ phần Bắt Động Sản Nguyên Sơn (i),Công ty Cổ phần Bắt Động Sản Nguyên Sơn (i),"83,71",163.898.852.800,Tp. Hồ Chí Minh,Bắt động sản,83.71,163898852800.0,,
Công ty Cổ phần Phát triển Nam Long,Công ty Cổ phần Phát triển Nam Long,Công ty Cổ phần Phát triển Nam Long,"77,74",52.937.760.000,Tp. Hồ Chí Minh,Xây dựng và bất động sản,77.74,52937760000.0,,
Công ty Cổ phần Nam Long - Hồng Phát (i),Công ty Cổ phần Nam Long - Hồng Phát (i),Công ty Cổ phần Nam Long - Hồng Phát (i),"75,25",47.782.500.000,Tp. Cần Thơ,Xây dựng và bất động sản,75.25,47782500000.0,,
Công ty Cổ phần Nam Long VCD (i) (ii),Công ty Cổ phần Nam Long VCD (i) (ii),Công ty Cổ phần Nam Long VCD (i) (ii),"89,33",967.378.800.000,Tỉnh Long An,Xây dựng và bất động sản,89.33,967378800000.0,,
Công ty TNHH Một thành viên Sản giao dịch Bắt động sản Nam Long,Công ty TNHH Một thành viên Sản giao dịch Bắt động sản Nam Long,Công ty TNHH Một thành viên Sản giao dịch Bắt động sản Nam Long,"100,00",6.000.000.000,Tp. Hồ Chí Minh,Sản giao dịch bất động sản,100.0,6000000000.0,,
Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,"100,00",201.981.690.000,Tp. Hồ Chí Minh,Xây dựng và bất động sản,100.0,201981690000.0,,
Công ty Cổ phần Đầu tư Nam Phan (i) (iii),Công ty Cổ phần Đầu tư Nam Phan (i) (iii),Công ty Cổ phần Đầu tư Nam Phan (i) (iii),"76,01",145.991.896.717,Tp. Hồ Chí Minh,Xây dựng và bất động sản,76.01,145991896717.0,,
Công ty TNHH ASPL - PLB Nam Long (i) (iv),Công ty TNHH ASPL - PLB Nam Long (i) (iv),Công ty TNHH ASPL - PLB Nam Long (i) (iv),"95,00",303.116.435.831,Tp. Hồ Chí Minh,Xây dựng và bất động sản,95.0,303116435831.0,,
Công ty TNHH ĐT & KD BDS Nguyên Phúc (i),Công ty TNHH ĐT & KD BDS Nguyên Phúc (i),Công ty TNHH ĐT & KD BDS Nguyên Phúc (i),"50,00",56.655.133.000,Tp. Hồ Chí Minh,Bắt động sản,50.0,56655133000.0,,
Cty TNHH ĐT & KD BDS Thảo Nguyên (i) (v),Cty TNHH ĐT & KD BDS Thảo Nguyên (i) (v),Cty TNHH ĐT & KD BDS Thảo Nguyên (i) (v),"99,44",97.043.166.500,Tp. Hồ Chí Minh,Bắt động sản,99.44,97043166500.0,,
Công ty Cổ phần Dịch vụ Nam Long,Công ty Cổ phần Dịch vụ Nam Long,Công ty Cổ phần Dịch vụ Nam Long,"71,29",745.000.000,Tp. Hồ Chí Minh,Dịch vụ và xây lắp,71.29,745000000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,2.330.229.267.848,,,,2330229267848.0,,
