row_label_raw,row_label_full,col_0,Năm nay,VNĐNăm trước,numeric__Năm nay,numeric__VNĐNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.387.177.733.770,841.847.867.438,1387177733770.0,841847867438.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Doanh thu bán đất, căn hộ, nhà phố vàbiệt thự","Trong đó: > Doanh thu bán đất, căn hộ, nhà phố vàbiệt thự","Doanh thu bán đất, căn hộ, nhà phố vàbiệt thự",1.198.804.898.895,817.617.361.325,1198804898895.0,817617361325.0
Doanh thu thi công xây dựng,Trong đó: > Doanh thu thi công xây dựng,Doanh thu thi công xây dựng,176.489.499.999,-,176489499999.0,
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,11.319.641.104,23.421.322.167,11319641104.0,23421322167.0
Thu nhập cho thuê bất động sản đầu tư,Trong đó: > Thu nhập cho thuê bất động sản đầu tư,Thu nhập cho thuê bất động sản đầu tư,563.693.772,809.183.946,563693772.0,809183946.0
Trừ,Trừ,Trừ,Trừ,Trừ,,
Hàng bán bị trả lại,Trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(8.677.878.248),(2.400.191.889),-8677878248.0,-2400191889.0
Doanh thu thuần,Trừ > Doanh thu thuần,Doanh thu thuần,1.378.499.855.522,839.447.675.549,1378499855522.0,839447675549.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Doanh thu bán đất, căn hộ, nhà phố vàbiệt thự","Trong đó: > Doanh thu bán đất, căn hộ, nhà phố vàbiệt thự","Doanh thu bán đất, căn hộ, nhà phố vàbiệt thự",1.190.127.020.647,815.217.169.436,1190127020647.0,815217169436.0
Doanh thu thi công xây dựng,Trong đó: > Doanh thu thi công xây dựng,Doanh thu thi công xây dựng,176.489.499.999,-,176489499999.0,
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,11.319.641.104,23.421.322.167,11319641104.0,23421322167.0
Thu nhập cho thuê bất động sản đầu tư,Trong đó: > Thu nhập cho thuê bất động sản đầu tư,Thu nhập cho thuê bất động sản đầu tư,563.693.772,809.183.946,563693772.0,809183946.0
