row_label_raw,row_label_full,Mã số,NGUỒN VÔN,Thuyết minh,Số cuối năm,Số đầu năm (được trình bày lại),numeric__NGUỒN VÔN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (được trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,2.512.781.430.741,2.067.054.153.222,,,2512781430741.0,2067054153222.0
310,310,310,I. Nợ ngắn hạn,,2.109.416.679.973,1.624.716.794.746,,,2109416679973.0,1624716794746.0
311,311,311,1. Phải trả người bản ngắn hạn,16,345.539.161.943,221.533.348.570,,16.0,345539161943.0,221533348570.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,17,856.246.440.478,578.623.132.937,,17.0,856246440478.0,578623132937.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,72.046.701.908,54.803.634.858,,18.0,72046701908.0,54803634858.0
314,314,314,4. Phải trả người lao động,,15.118.992.691,11.517.693.370,,,15118992691.0,11517693370.0
315,315,315,5. Chi phí phải trả ngắn hạn,19,151.453.477.146,141.478.359.609,,19.0,151453477146.0,141478359609.0
319,319,319,6. Phải trả ngắn hạn khác,20,413.882.442.276,498.508.285.419,,20.0,413882442276.0,498508285419.0
320,320,320,7. Vay và nợ ngắn hạn,21,256.450.226.604,119.290.255.500,,21.0,256450226604.0,119290255500.0
322,322,322,"8. Quỹ khen thưởng, phúc lợi",22,(1.320.763.073),(1.037.915.517),,22.0,-1320763073.0,-1037915517.0
330,330,330,II. Nợ dài hạn,,403.364.750.768,442.337.358.476,,,403364750768.0,442337358476.0
337,337,337,1. Phải trả dài hạn khác,20,6.374.152.930,5.535.433.535,,20.0,6374152930.0,5535433535.0
338,338,338,2. Vay và nợ dài hạn,21,387.948.745.000,425.681.156.000,,21.0,387948745000.0,425681156000.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,29.3,9.041.852.838,11.120.768.941,,293.0,9041852838.0,11120768941.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.180.837.235.034,2.063.454.142.518,,,2180837235034.0,2063454142518.0
410,410,410,I. Vốn chủ sở hữu,23.1,2.180.837.235.034,2.063.454.142.518,,231.0,2180837235034.0,2063454142518.0
411,411,411,1. Vốn cổ phần,,1.415.721.570.000,1.339.692.790.000,,,1415721570000.0,1339692790000.0
411a,411a,411a,- Cổ phiếu phổ thông cỏ quyền biểu quyết,,1.415.721.570.000,1.339.692.790.000,,,1415721570000.0,1339692790000.0
412,412,412,2. Thắng dư vốn cổ phần,,492.337.147.061,422.792.104.687,,,492337147061.0,422792104687.0
418,418,418,3. Quỹ đầu tư phát triển,,5.940.860.165,5.940.860.165,,,5940860165.0,5940860165.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,266.837.657.808,295.028.387.666,,,266837657808.0,295028387666.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,252.892.523.998,255.269.203.449,,,252892523998.0,255269203449.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,13.945.133.810,39.759.184.217,,,13945133810.0,39759184217.0
440,440,440,TỔNG CỘNG NGUỒN VÔN,,4.693.618.665.775,4.130.508.295.740,,,4693618665775.0,4130508295740.0
