row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm(được trình bày lại),numeric__Số cuối năm,numeric__VND Số đầu năm(được trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu cho bên liên quan vay,Ngắn hạn > Phải thu cho bên liên quan vay,Phải thu cho bên liên quan vay,208.471.572.411,201.576.890.411,208471572411.0,201576890411.0
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,177.295.116.794,196.450.508.679,177295116794.0,196450508679.0
Phải thu lãi vay,Ngắn hạn > Phải thu lãi vay,Phải thu lãi vay,62.536.225.745,38.586.505.743,62536225745.0,38586505743.0
"Phải thu do thanh lý hợp đồng hợp tác kinh doanh (""HĐHTKD"")","Ngắn hạn > Phải thu do thanh lý hợp đồng hợp tác kinh doanh (""HĐHTKD"")","Phải thu do thanh lý hợp đồng hợp tác kinh doanh (""HĐHTKD"")",36.422.865.647,57.702.732.804,36422865647.0,57702732804.0
Tạm ứng cho nhân viên phục vụ công tác đến bù,Ngắn hạn > Tạm ứng cho nhân viên phục vụ công tác đến bù,Tạm ứng cho nhân viên phục vụ công tác đến bù,26.437.504.000,28.436.230.000,26437504000.0,28436230000.0
Phải thu cổ tức,Ngắn hạn > Phải thu cổ tức,Phải thu cổ tức,23.162.846.500,327.800.000,23162846500.0,327800000.0
Trả trước thuế thu nhập doanh nghiệp theo tiến độ thanh toán của khách hàng,Ngắn hạn > Trả trước thuế thu nhập doanh nghiệp theo tiến độ thanh toán của khách hàng,Trả trước thuế thu nhập doanh nghiệp theo tiến độ thanh toán của khách hàng,10.812.576.880,11.932.863.653,10812576880.0,11932863653.0
Trả trước để mua quyền sở hữu trong đơn vị khác,Ngắn hạn > Trả trước để mua quyền sở hữu trong đơn vị khác,Trả trước để mua quyền sở hữu trong đơn vị khác,4.364.250.000,35.520.000.000,4364250000.0,35520000000.0
Trả trước tiền mua đất,Ngắn hạn > Trả trước tiền mua đất,Trả trước tiền mua đất,2.079.195.184,2.079.195.184,2079195184.0,2079195184.0
Tạm ứng khác cho nhân viên,Ngắn hạn > Tạm ứng khác cho nhân viên,Tạm ứng khác cho nhân viên,1.964.376.950,8.116.035.355,1964376950.0,8116035355.0
Khác,Ngắn hạn > Khác,Khác,9.515.275.888,13.749.145.940,9515275888.0,13749145940.0
,,,385.766.689.205,398.027.399.090,385766689205.0,398027399090.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",2.059.883.275,2.059.883.275,2059883275.0,2059883275.0
Đầu tư vào các HĐHTKD,Dài hạn > Đầu tư vào các HĐHTKD,Đầu tư vào các HĐHTKD,78.654.530.680,271.245.911.153,78654530680.0,271245911153.0
Dự án Long An (i),Dài hạn > Dự án Long An (i),Dự án Long An (i),-,211.276.056.102,,211276056102.0
Dự án 9B7 (ii),Dài hạn > Dự án 9B7 (ii),Dự án 9B7 (ii),77.261.640.900,58.576.965.271,77261640900.0,58576965271.0
Dự án Tân Thuận Đông,Dài hạn > Dự án Tân Thuận Đông,Dự án Tân Thuận Đông,1.392.889.780,1.392.889.780,1392889780.0,1392889780.0
Khác,Dài hạn > Khác,Khác,1.963.146.777,1.949.476.755,1963146777.0,1949476755.0
,,,82.677.560.732,275.255.271.183,82677560732.0,275255271183.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,468.444.249.937,673.282.670.273,468444249937.0,673282670273.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác,Trong đó: > Phải thu khác,Phải thu khác,147.734.971.160,134.985.840.286,147734971160.0,134985840286.0
Phải thu khác từ các bên liên quan(Thuyết minh số 30),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 30),Phải thu khác từ các bên liên quan(Thuyết minh số 30),320.709.278.777,538.296.829.987,320709278777.0,538296829987.0
