row_label_raw,row_label_full,Bên liên quan > Phải trả khác(Thuyết minh số 20) > Công ty Cổ phần Phát triển Căn hộ Nam Long > Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,Mối quan hệ > Phải trả khác(Thuyết minh số 20) > Công ty con,Nội dung nghiệp vụ > Phải trả khác(Thuyết minh số 20) > Nhận góp vốn HĐHTKD - Dự án Ehome 3 > Nhận góp vốn HĐHTKD - Dự án Ehome 4 > Chia lợi nhuận - Dự án Ehome 3 > Chia lợi nhuận - Dự án Ehome 4 > Nhận góp vốn HĐHTKD - Dự án Long An Chi trả hộ,Số cuối năm > Phải trả khác(Thuyết minh số 20) > 142.319.675.219 > 82.490.221.304 > 65.343.248.106 > 11.319.015.473 > 15.671.000.000-,VND Số đầu năm > Phải trả khác(Thuyết minh số 20) > 186.793.466.823 > 82.490.221.304 > 31.706.563.569 > 2.911.885.473 > 42.120.528.50010.000.000,numeric__Mối quan hệ > Phải trả khác(Thuyết minh số 20) > Công ty con,numeric__Nội dung nghiệp vụ > Phải trả khác(Thuyết minh số 20) > Nhận góp vốn HĐHTKD - Dự án Ehome 3 > Nhận góp vốn HĐHTKD - Dự án Ehome 4 > Chia lợi nhuận - Dự án Ehome 3 > Chia lợi nhuận - Dự án Ehome 4 > Nhận góp vốn HĐHTKD - Dự án Long An Chi trả hộ,numeric__Số cuối năm > Phải trả khác(Thuyết minh số 20) > 142.319.675.219 > 82.490.221.304 > 65.343.248.106 > 11.319.015.473 > 15.671.000.000-,numeric__VND Số đầu năm > Phải trả khác(Thuyết minh số 20) > 186.793.466.823 > 82.490.221.304 > 31.706.563.569 > 2.911.885.473 > 42.120.528.50010.000.000
,,,,,317.143.160.102,346.032.665.669,,,317143160102.0,346032665669.0
Vay ngắn hạn(Thuyết minh số 21),Vay ngắn hạn(Thuyết minh số 21),Vay ngắn hạn(Thuyết minh số 21),Vay ngắn hạn(Thuyết minh số 21),Vay ngắn hạn(Thuyết minh số 21),Vay ngắn hạn(Thuyết minh số 21),Vay ngắn hạn(Thuyết minh số 21),,,,
Công ty Cổ phần Phát triển Căn hộ Nam Long,Vay ngắn hạn(Thuyết minh số 21) > Công ty Cổ phần Phát triển Căn hộ Nam Long,Công ty Cổ phần Phát triển Căn hộ Nam Long,Công ty con,Vay,47.473.791.604,3.000.000.000,,,47473791604.0,3000000000.0
Bà Nguyễn Thị Ngọc Lan,Vay ngắn hạn(Thuyết minh số 21) > Bà Nguyễn Thị Ngọc Lan,Bà Nguyễn Thị Ngọc Lan,Bên liên quan,Vay,-,1.000.000.000,,,,1000000000.0
Bà Nguyễn Thị Phúc Nguyên,Vay ngắn hạn(Thuyết minh số 21) > Bà Nguyễn Thị Phúc Nguyên,Bà Nguyễn Thị Phúc Nguyên,Bên liên quan,Vay,4.692.821.000,3.297.955.000,,,4692821000.0,3297955000.0
Công ty Cổ phần Đầu tư Nam Phan,Vay ngắn hạn(Thuyết minh số 21) > Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,Công ty con,Vay,10.000.000.000,-,,,10000000000.0,
,,,,,62.166.612.604,7.297.955.000,,,62166612604.0,7297955000.0
