row_label_raw,row_label_full,col_0,"Mày móc, thiết bị","Nhà cửa, vật kiến trúc",Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,"numeric__Mày móc, thiết bị","numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,506.130.109,1.403.328.285,2.307.763.668,1.987.500.172,6.204.722.234,506130109.0,1403328285.0,2307763668.0,1987500172.0,6204722234.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,-,756.205.000,756.205.000,,,,756205000.0,756205000.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,-,-,(134.734.357),(134.734.357),,,,-134734357.0,-134734357.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,506.130.109,1.403.328.285,2.307.763.668,2.608.970.815,6.826.192.877,506130109.0,1403328285.0,2307763668.0,2608970815.0,6826192877.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,306.830.109,-,290.753.340,1.110.728.544,1.708.311.993,306830109.0,,290753340.0,1110728544.0,1708311993.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(363.772.957),(449.065.055),(1.212.145.869),(1.414.585.610),(3.439.569.491),-363772957.0,-449065055.0,-1212145869.0,-1414585610.0,-3439569491.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(28.471.428),(56.133.132),(252.126.292),(313.241.868),(649.972.720),-28471428.0,-56133132.0,-252126292.0,-313241868.0,-649972720.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,-,-,134.734.357,134.734.357,,,,134734357.0,134734357.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(392.244.385),(505.198.187),(1.464.272.161),(1.593.093.121),(3.954.807.854),-392244385.0,-505198187.0,-1464272161.0,-1593093121.0,-3954807854.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,142.357.152,954.263.230,1.095.617.799,572.914.562,2.765.152.743,142357152.0,954263230.0,1095617799.0,572914562.0,2765152743.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,113.885.724,898.130.098,843.491.507,1.015.877.694,2.871.385.023,113885724.0,898130098.0,843491507.0,1015877694.0,2871385023.0
