row_label_raw,row_label_full,Cho năm kết thúc ngày31 tháng 12 năm 2016,Nuôi trồng sản phẩm thủy sản VND,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Bộ phận kinh doanh khác VND,Loại trừ VND,Hợp nhất VND,numeric__Nuôi trồng sản phẩm thủy sản VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Bộ phận kinh doanh khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,3.184.655.500,6.726.430.481.717,5.201.974.245.143,41.824.157.302,-,11.973.413.539.662,3184655500.0,6726430481717.0,5201974245143.0,41824157302.0,,11973413539662.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,87.002.428.525,7.426.525.801.469,373.830.318.778,82.098.953.380,(7.969.457.502.152),-,87002428525.0,7426525801469.0,373830318778.0,82098953380.0,-7969457502152.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,90.187.084.025,14.152.956.283.186,5.575.804.563.921,123.923.110.682,(7.969.457.502.152),11.973.413.539.662,90187084025.0,14152956283186.0,5575804563921.0,123923110682.0,-7969457502152.0,11973413539662.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(84.190.945.350),342.603.720.568,(50.622.386.501),(765.016.713),(13.239.632.356),193.785.739.648,-84190945350.0,342603720568.0,-50622386501.0,-765016713.0,-13239632356.0,193785739648.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,141.658.188.222,,,,,,141658188222.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(310.702.276.587),,,,,,-310702276587.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,24.741.651.283,,,,,,24741651283.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,78.709.686.820,,,,,,78709686820.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(2.571.621.875),,,,,,-2571621875.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,(18.988.615.374),,,,,,-18988615374.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,81.891.100.854,,,,,,81891100854.0
