row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2016 VND > 469.721.555,Số phải nộp trong năm VND > 9.732.429.573,Số đã nộp trong năm VND > (9.315.085.052),Cán trừ VND > -,Chênh lệch tỷ giá hối đoái VND > -,31/12/2016 VND > 887.066.076,numeric__1/1/2016 VND > 469.721.555,numeric__Số phải nộp trong năm VND > 9.732.429.573,numeric__Số đã nộp trong năm VND > (9.315.085.052),numeric__Cán trừ VND > -,numeric__Chênh lệch tỷ giá hối đoái VND > -,numeric__31/12/2016 VND > 887.066.076
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,15.614.160.734,(7.544.672.452),(8.061.211.387),(439.835),7.837.060,,15614160734.0,-7544672452.0,-8061211387.0,-439835.0,7837060.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,15.590.600.974,15.179.111.523,(21.632.853.922),(8.008.756.317),33.585.666,1.161.687.924,15590600974.0,15179111523.0,-21632853922.0,-8008756317.0,33585666.0,1161687924.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.270.715.817,7.542.266.506,(8.021.736.868),-,-,791.245.455,1270715817.0,7542266506.0,-8021736868.0,,,791245455.0
Thuế khác,Thuế khác,Thuế khác,450.000,180.274.440,(179.284.440),-,-,1.440.000,450000.0,180274440.0,-179284440.0,,,1440000.0
,,,17.331.488.346,48.248.242.776,(46.693.632.734),(16.069.967.704),33.145.831,2.849.276.515,17331488346.0,48248242776.0,-46693632734.0,-16069967704.0,33145831.0,2849276515.0
(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,,,,,,
,,,,1/1/2016 VND,Số đã nộp trong năm VND,Số đã được hoàn lại trong năm VND,Cán trừ VND,31/12/2016 VND,,,,,,
Thuế thu nhập doanh nghiệp trả trước,(b) Thuế phải thu Ngân sách Nhà nước > Thuế thu nhập doanh nghiệp trả trước,Thuế thu nhập doanh nghiệp trả trước,Thuế thu nhập doanh nghiệp trả trước,14.866.929.847,11.535.588.709,-,(8.008.756.317),18.393.762.239,,14866929847.0,11535588709.0,,-8008756317.0,18393762239.0
Thuế xuất nhập khẩu,(b) Thuế phải thu Ngân sách Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,9.811.447.027,4.999.430.840,(1.537.775.614),(8.061.211.387),5.211.890.866,,9811447027.0,4999430840.0,-1537775614.0,-8061211387.0,5211890866.0
Thuế thu nhập cá nhân,(b) Thuế phải thu Ngân sách Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,560.783.281,50.995.612,(18.184.357),-,593.594.536,,560783281.0,50995612.0,-18184357.0,,593594536.0
,,,,25.239.160.155,16.586.015.161,(1.555.959.971),(16.069.967.704),24.199.247.641,,25239160155.0,16586015161.0,-1555959971.0,-16069967704.0,24199247641.0
