row_label_raw,row_label_full,Tiền nhận góp vốn từ cổ đông không kiểm soát,31,-,100.000.000,numeric__31,numeric__-,numeric__100.000.000
Tiền vay và trái phiếu nhận được,Tiền vay và trái phiếu nhận được,Tiền vay và trái phiếu nhận được,33,9.811.194.654.378,14.211.998.708.364,33.0,9811194654378.0,14211998708364.0
Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,34,(10.887.460.095.024),(14.255.869.883.785),34.0,-10887460095024.0,-14255869883785.0
Tiền chỉ cho việc phát hành trái phiếu,Tiền chỉ cho việc phát hành trái phiếu,Tiền chỉ cho việc phát hành trái phiếu,34,-,(35.000.000.000),34.0,,-35000000000.0
Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,35,(2.518.284.673),-,35.0,-2518284673.0,
Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,40,(1.078.783.725.319),(78.771.175.421),40.0,-1078783725319.0,-78771175421.0
