row_label_raw,row_label_full,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Loại tiền > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Lãi suất năm > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,31/12/2016 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,1/1/2016 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Loại tiền > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Lãi suất năm > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__31/12/2016 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__1/1/2016 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau
Khoản vay 1,Khoản vay 1,Khoản vay 1,VND,"5,0%",-,764.100.136.557,,0.05,,764100136557.0
Khoản vay 2,Khoản vay 2,Khoản vay 2,VND,"5,0%",-,18.370.579.932,,0.05,,18370579932.0
Khoản vay 3,Khoản vay 3,Khoản vay 3,VND,"5,0%",-,831.009.062.191,,0.05,,831009062191.0
Khoản vay 4,Khoản vay 4,Khoản vay 4,USD,"1,5%",599.337.540.834,-,,0.015,599337540834.0,
Khoản vay 5,Khoản vay 5,Khoản vay 5,USD,"1,5%",509.452.670.714,-,,0.015,509452670714.0,
Khoản vay 6,Khoản vay 6,Khoản vay 6,USD,"1,5%",10.505.069.491,-,,0.015,10505069491.0,
Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,,,,
Khoản vay 1,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 1,Khoản vay 1,VND,"4,7% - 5,0%",,312.221.609.610,,,,312221609610.0
Khoản vay 2,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 2,Khoản vay 2,VND,"4,7% - 5,0%",198.929.054.610,115.544.370.180,,,198929054610.0,115544370180.0
Khoản vay 3,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 3,Khoản vay 3,USD,"1,5% - 1,8%",320.099.032.139,-,,,320099032139.0,
Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,,,,
Khoản vay 1,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau > Khoản vay 1,Khoản vay 1,VND,"4,7% - 5,0%",-,315.300.918.770,,,,315300918770.0
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,,,,
Khoản vay 1,Ngân hàng TMCP Quốc tế Việt Nam > Khoản vay 1,Khoản vay 1,VND,"5,0%",-,29.007.447.280,,0.05,,29007447280.0
Khoản vay 2,Ngân hàng TMCP Quốc tế Việt Nam > Khoản vay 2,Khoản vay 2,USD,"1,5%",48.071.657.197,-,,0.015,48071657197.0,
,,,USD,"1,5%",82.764.127.226,-,,0.015,82764127226.0,
Ngân hàng Citibank – Bắc Mỹ,Ngân hàng Citibank – Bắc Mỹ,Ngân hàng Citibank – Bắc Mỹ,Ngân hàng Citibank – Bắc Mỹ,Ngân hàng Citibank – Bắc Mỹ,Ngân hàng Citibank – Bắc Mỹ,Ngân hàng Citibank – Bắc Mỹ,,,,
Khoản vay 1 (*),Ngân hàng Citibank – Bắc Mỹ > Khoản vay 1 (*),Khoản vay 1 (*),USD,0%,53.464.850.000,-,,0.0,53464850000.0,
,,,,,1.822.624.002.211,2.385.554.124.520,,,1822624002211.0,2385554124520.0
