row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,730.633.809.720,1.096.288.639.494,154.184.169.783,20.086.423.636,2.001.193.042.633,730633809720.0,1096288639494.0,154184169783.0,20086423636.0,2001193042633.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,925.028.075,21.748.395.914,2.111.532.883,461.960.880,25.246.917.752,925028075.0,21748395914.0,2111532883.0,461960880.0,25246917752.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,952.785.455,-,-,-,952.785.455,952785455.0,,,,952785455.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(409.157.736),(3.867.910.182),-,(4.277.067.918),,-409157736.0,-3867910182.0,,-4277067918.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,166.635.104,-,-,8.649.837,175.284.941,166635104.0,,,8649837.0,175284941.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,732.678.258.354,1.117.627.877.672,152.427.792.484,20.557.034.353,2.023.290.962.863,732678258354.0,1117627877672.0,152427792484.0,20557034353.0,2023290962863.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,217.024.646.153,534.546.614.746,72.599.800.674,10.513.061.959,834.684.123.532,217024646153.0,534546614746.0,72599800674.0,10513061959.0,834684123532.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,51.091.645.274,109.359.311.215,16.380.523.526,2.191.674.213,179.023.154.228,51091645274.0,109359311215.0,16380523526.0,2191674213.0,179023154228.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(409.157.736),(2.458.084.391),-,(2.867.242.127),,-409157736.0,-2458084391.0,,-2867242127.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,42.416.371,-,-,8.649.837,51.066.208,42416371.0,,,8649837.0,51066208.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,268.158.707.798,643.496.768.225,86.522.239.809,12.713.386.009,1.010.891.101.841,268158707798.0,643496768225.0,86522239809.0,12713386009.0,1010891101841.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,513.609.163.567,561.742.024.748,81.584.369.109,9.573.361.677,1.166.508.919.101,513609163567.0,561742024748.0,81584369109.0,9573361677.0,1166508919101.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,464.519.550.556,474.131.109.447,65.905.552.675,7.843.648.344,1.012.399.861.022,464519550556.0,474131109447.0,65905552675.0,7843648344.0,1012399861022.0
