row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Nuôi trồng sản phẩm thủy sản VND,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Bộ phận kinh doanh khác VND,Loại trừ VND,Hợp nhất VND,numeric__Nuôi trồng sản phẩm thủy sản VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Bộ phận kinh doanh khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,224.960.483.892,6.813.066.349.168,2.054.836.878.215,146.016.590.052,(1.729.904.597.096),7.508.975.704.231,224960483892.0,6813066349168.0,2054836878215.0,146016590052.0,-1729904597096.0,7508975704231.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,108.900.000.000,,,,,,108900000000.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,571.939.714.371,,,,,,571939714371.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,8.189.815.418.602,,,,,,8189815418602.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,,,,,,5.866.246.380.755,,,,,,5866246380755.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,30.597.677.137,,,,,,30597677137.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,5.896.844.057.892,,,,,,5896844057892.0
Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,,,,,,,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Chi tiêu vốn,Chi tiêu vốn,581.023.267,22.105.531.536,-,253.176.000,-,22.939.730.803,581023267.0,22105531536.0,,253176000.0,,22939730803.0
Khấu hao và phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Khấu hao và phân bổ,Khấu hao và phân bổ,20.759.798.994,157.908.674.041,318.038.975,4.591.157.565,3.088.895.700,186.666.565.275,20759798994.0,157908674041.0,318038975.0,4591157565.0,3088895700.0,186666565275.0
