row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cho năm kết thúc ngày31 tháng 12 năm 2015,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Nuôi trồngsản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Chế biếnsản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Kinh doanhsản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Bộ phận kinhdoanh khácVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Loại trừVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hợp nhấtVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Nuôi trồngsản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Chế biếnsản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Kinh doanhsản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Bộ phận kinhdoanh khácVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Loại trừVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hợp nhấtVND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,148.796.000,6.569.636.735.651,5.668.382.008.718,48.456.869.586,-,12.286.624.409.955,148796000.0,6569636735651.0,5668382008718.0,48456869586.0,,12286624409955.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,47.420.647.457,8.089.929.364.666,51.602.249.994,97.877.370.570,(8.286.829.632.687),-,47420647457.0,8089929364666.0,51602249994.0,97877370570.0,-8286829632687.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,47.569.443.457,14.659.566.100.317,5.719.984.258.712,146.334.240.156,(8.286.829.632.687),12.286.624.409.955,47569443457.0,14659566100317.0,5719984258712.0,146334240156.0,-8286829632687.0,12286624409955.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(75.353.492.545),185.774.980.638,52.240.868.080,7.322.468.962,7.932.889.678,177.917.714.813,-75353492545.0,185774980638.0,52240868080.0,7322468962.0,7932889678.0,177917714813.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,270.405.669.954(440.583.234.855),,,,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,,
Kết quả từ hoạt động kinh doanh,Chi phí tài chính > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,7.740.149.912,,,,,,7740149912.0
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,,,20.918.014.777,,,,,,20918014777.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,,,(16.521.947.296),,,,,,-16521947296.0
Thuế thu nhập doanh nghiệp,Chi phí tài chính > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,(19.082.104.758),,,,,,-19082104758.0
Lỗ thuần sau thuế,Chi phí tài chính > Lỗ thuần sau thuế,Lỗ thuần sau thuế,,,,,,(6.945.887.365),,,,,,-6945887365.0
