row_label_raw,row_label_full,col_0,Quyền sử dụng đất không xác định thời hạn VND,Quyền sử dụng đất có xác định thời hạn VND,Phần mềm máy tính VND,Tổng VND,numeric__Quyền sử dụng đất không xác định thời hạn VND,numeric__Quyền sử dụng đất có xác định thời hạn VND,numeric__Phần mềm máy tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.751.494.650,112.561.925.700,30.150.276.330,161.463.696.680,18751494650.0,112561925700.0,30150276330.0,161463696680.0
Chuyển sang đầu tư vào công ty liên kết (Thuyết minh 6(c)),Nguyên giá > Chuyển sang đầu tư vào công ty liên kết (Thuyết minh 6(c)),Chuyển sang đầu tư vào công ty liên kết (Thuyết minh 6(c)),-,(1.638.500.000),-,(1.638.500.000),,-1638500000.0,,-1638500000.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,197.081.857,-,-,197.081.857,197081857.0,,,197081857.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.948.576.507,110.923.425.700,30.150.276.330,160.022.278.537,18948576507.0,110923425700.0,30150276330.0,160022278537.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,9.893.130.579,2.280.647.728,12.173.778.307,,9893130579.0,2280647728.0,12173778307.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,2.223.223.722,2.331.291.625,4.554.515.347,,2223223722.0,2331291625.0,4554515347.0
Chuyển sang đầu tư vào công ty liên kết (Thuyết minh 6(c)),Giá trị hao mòn lũy kế > Chuyển sang đầu tư vào công ty liên kết (Thuyết minh 6(c)),Chuyển sang đầu tư vào công ty liên kết (Thuyết minh 6(c)),-,(174.449.010),-,(174.449.010),,-174449010.0,,-174449010.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,11.941.905.291,4.611.939.353,16.553.844.644,,11941905291.0,4611939353.0,16553844644.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.751.494.650,102.668.795.121,27.869.628.602,149.289.918.373,18751494650.0,102668795121.0,27869628602.0,149289918373.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.948.576.507,98.981.520.409,25.538.336.977,143.468.433.893,18948576507.0,98981520409.0,25538336977.0,143468433893.0
