row_label_raw,row_label_full,col_0,Bộ phận chia theo vùng địa lý,Bộ phận chia theo vùng địa lý_1,numeric__Bộ phận chia theo vùng địa lý,numeric__Bộ phận chia theo vùng địa lý_1
,,,2016VND,2015VND,,
Việt Nam,Việt Nam,Việt Nam,69.768.129.691,56.476.139.162,69768129691.0,56476139162.0
Bắc Mỹ,Bắc Mỹ,Bắc Mỹ,5.924.015.256.229,6.455.139.704.585,5924015256229.0,6455139704585.0
Châu Âu,Châu Âu,Châu Âu,1.027.955.917.877,1.197.938.353.329,1027955917877.0,1197938353329.0
Nhật Bản,Nhật Bản,Nhật Bản,2.484.827.426.704,2.271.946.185.690,2484827426704.0,2271946185690.0
Hàn Quốc,Hàn Quốc,Hàn Quốc,890.885.706.045,706.027.891.108,890885706045.0,706027891108.0
Vùng địa lý khác,Vùng địa lý khác,Vùng địa lý khác,1.575.961.103.116,1.599.096.136.081,1575961103116.0,1599096136081.0
,,,11.973.413.539.662,12.286.624.409.955,11973413539662.0,12286624409955.0
