row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,700.000.000.000,177.876.869.236,(80.162.090.861),98.893.770.789,47.138.548.094,843.274.384.403,488.198.004.221,2.275.219.485.882,700000000000.0,177876869236.0,-80162090861.0,98893770789.0,47138548094.0,843274384403.0,488198004221.0,2275219485882.0
Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,-,-,-,-,-,-,100.000.000,100.000.000,,,,,,,100000000.0,100000000.0
Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,32.446.203.539,(39.392.090.904),(6.945.887.365),,,,,,32446203539.0,-39392090904.0,-6945887365.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,41.739.407.170,(41.739.407.170),-,-,,,,,41739407170.0,-41739407170.0,,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,-,-,-,-,-,(27.101.848.228),-,(27.101.848.228),,,,,,-27101848228.0,,-27101848228.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,(1.760.370.991),(1.760.370.991),,,,,,,-1760370991.0,-1760370991.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(14.798.702.000),-,-,(14.798.702.000),,,,,-14798702000.0,,,-14798702000.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,16.962.570.031,-,-,1.884.730.003,18.847.300.034,,,,16962570031.0,,,1884730003.0,18847300034.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(32.467.500.000),32.467.500.000,-,,,,,,-32467500000.0,32467500000.0,
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,700.000.000.000,177.876.869.236,(80.162.090.861),115.856.340.820,74.079.253.264,774.411.832.544,481.497.772.329,2.243.559.977.332,700000000000.0,177876869236.0,-80162090861.0,115856340820.0,74079253264.0,774411832544.0,481497772329.0,2243559977332.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,72.084.426.856,9.806.673.998,81.891.100.854,,,,,,72084426856.0,9806673998.0,81891100854.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,598.454.543,(598.454.543),-,-,,,,,598454543.0,-598454543.0,,
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,(1.797.913.682),(1.797.913.682),,,,,,,-1797913682.0,-1797913682.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(42.433.609.710),-,-,(42.433.609.710),,,,,-42433609710.0,,,-42433609710.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,10.599.178.188,-,-,1.152.627.728,11.751.805.916,,,,10599178188.0,,,1152627728.0,11751805916.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,700.000.000.000,177.876.869.236,(80.162.090.861),126.455.519.008,32.244.098.097,845.897.804.857,490.659.160.373,2.292.971.360.710,700000000000.0,177876869236.0,-80162090861.0,126455519008.0,32244098097.0,845897804857.0,490659160373.0,2292971360710.0
