row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2016,Nuoỉ trồng sản phẩm thủy sản VND,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Bộ phận kinh doanh khác VND,Loại trừ VND,Hợp nhất VND,numeric__Nuoỉ trồng sản phẩm thủy sản VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Bộ phận kinh doanh khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,281.974.726.408,7.283.134.202.193,1.849.825.944.332,129.427.067.667,(1.387.056.879.992),8.157.305.060.608,281974726408.0,7283134202193.0,1849825944332.0,129427067667.0,-1387056879992.0,8157305060608.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,107.271.100.000,,,,,,107271100000.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,960.571.772.666,,,,,,960571772666.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,9.225.147.933.274,,,,,,9225147933274.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,,,,,,6.928.831.801.649,,,,,,6928831801649.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,52.756.154.293,,,,,,52756154293.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,6.981.587.955.942,,,,,,6981587955942.0
Cho nằm kết thúc ngày 31 tháng 12 năm 2015,Cho nằm kết thúc ngày 31 tháng 12 năm 2015,Cho nằm kết thúc ngày 31 tháng 12 năm 2015,,,,,,,,,,,,
Chi tiêu vốn,Cho nằm kết thúc ngày 31 tháng 12 năm 2015 > Chi tiêu vốn,Chi tiêu vốn,590.114.344,136.309.217.485,-,10.720.296.481,-,147.619.628.310,590114344.0,136309217485.0,,10720296481.0,,147619628310.0
Khấu hao và phân bổ,Cho nằm kết thúc ngày 31 tháng 12 năm 2015 > Khấu hao và phân bổ,Khấu hao và phân bổ,21.346.462.595,144.312.036.804,321.880.284,4.751.461.537,3.088.895.700,173.820.736.920,21346462595.0,144312036804.0,321880284.0,4751461537.0,3088895700.0,173820736920.0
