row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Quá hạn > Tại ngày 31 tháng 12 năm 2023,Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2023,Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2023,Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2023,Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2023,Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2023,Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2023,Đơn vị: Triệu VND > Trên 5 năm > Tại ngày 31 tháng 12 năm 2023,Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2023,numeric__Quá hạn > Tại ngày 31 tháng 12 năm 2023,numeric__Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2023,numeric__Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2023,numeric__Đơn vị: Triệu VND > Trên 5 năm > Tại ngày 31 tháng 12 năm 2023,numeric__Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2023
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,6.909.300,-,-,-,-,-,-,6.909.300,,6909300.0,,,,,,,6909300.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,18.504.814,-,-,-,-,-,-,18.504.814,,18504814.0,,,,,,,18504814.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,50.000,74.262.784,36.388.879,2.664.798,1.127.900,429.570,-,114.923.931,,50000.0,74262784.0,36388879.0,2664798.0,1127900.0,429570.0,,114923931.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,7.323.489,-,-,-,-,-,-,7.323.489,,7323489.0,,,,,,,7323489.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),8.804.561,-,12.647.935,438.318.633,24.521.207,2.801.019,241.912,266.585,487.601.852,8804561.0,,12647935.0,438318633.0,24521207.0,2801019.0,241912.0,266585.0,487601852.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,12.661,-,-,3.174.695,20.043.215,4.963.845,45.268.931,73.463.347,,12661.0,,,3174695.0,20043215.0,4963845.0,45268931.0,73463347.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,303.387,-,-,-,-,-,-,303.387,,303387.0,,,,,,,303387.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.762.561,-,-,-,-,-,-,4.762.561,,4762561.0,,,,,,,4762561.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,177.005,-,-,-,-,-,-,177.005,,177005.0,,,,,,,177005.0
