row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình (Thuyết minh 12.1) > Chuyển sang TSCĐ vô hình (Thuyết minh 12.2),Năm 2024Triệu VND > 1.174.974 > 552.821 > (305.764) > (674.338),Năm 2023Triệu VND > 584.626 > 1.038.095 > (204.576) > (243.171),numeric__Năm 2024Triệu VND > 1.174.974 > 552.821 > (305.764) > (674.338),numeric__Năm 2023Triệu VND > 584.626 > 1.038.095 > (204.576) > (243.171)
Chuyển sang tài sản khác,Chuyển sang tài sản khác,Chuyển sang tài sản khác,(7.009),-,-7009.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,740.684,1.174.974,740684.0,1174974.0
Số dư xây dựng cơ bản dở dang lớn bao gồm:,Số dư xây dựng cơ bản dở dang lớn bao gồm:,Số dư xây dựng cơ bản dở dang lớn bao gồm:,Số dư xây dựng cơ bản dở dang lớn bao gồm:,Số dư xây dựng cơ bản dở dang lớn bao gồm:,,
,,,31.12.2024Triệu VND,31.12.2023Triệu VND,,
"Mua sắm, xây dựng trụ sở, văn phòng làm việc","Số dư xây dựng cơ bản dở dang lớn bao gồm: > Mua sắm, xây dựng trụ sở, văn phòng làm việc","Mua sắm, xây dựng trụ sở, văn phòng làm việc",617.970,640.868,617970.0,640868.0
