row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2024 Triệu VND,Năm 2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2024 Triệu VND,numeric__Năm 2023 Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,Mua sắm tải sản cố định,,(919.740),(1.276.249),,,-919740.0,-1276249.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,147.865,4.038,,,147865.0,4038.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,3.507,-,,,3507.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",,35.058,74.955,,,35058.0,74955.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(733.310),(1.197.256),,,-733310.0,-1197256.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
04,04,04,"Cổ tức đã trả cho các cổ đông, lợi nhuận đã chia",,(3.884.051),(3.377.435),,,-3884051.0,-3377435.0
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(3.884.051),(3.377.435),,,-3884051.0,-3377435.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,,3.752.870,32.561.510,,,3752870.0,32561510.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠITHỜI ĐIỂM ĐẦU NĂM,,136.071.738,103.510.228,,,136071738.0,103510228.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠITHỜI ĐIỂM CUỐI NĂM,35,139.824.608,136.071.738,,35.0,139824608.0,136071738.0
