row_label_raw,row_label_full,col_0,31.12.2024Triệu VND,31.12.2023Triệu VND,numeric__31.12.2024Triệu VND,numeric__31.12.2023Triệu VND
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,
Chứng khoán Chính phủ (i) (ii),Chứng khoán nợ > Chứng khoán Chính phủ (i) (ii),Chứng khoán Chính phủ (i) (ii),32.850.096,20.515.956,32850096.0,20515956.0
Chứng khoán nợ do các TCTD trong nước phát hành (i),Chứng khoán nợ > Chứng khoán nợ do các TCTD trong nước phát hành (i),Chứng khoán nợ do các TCTD trong nước phát hành (i),76.055.720,24.375.151,76055720.0,24375151.0
Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,,
Chứng khoán vốn do các TCKT trong nước phát hành,Chứng khoán vốn > Chứng khoán vốn do các TCKT trong nước phát hành,Chứng khoán vốn do các TCKT trong nước phát hành,12.661,12.661,12661.0,12661.0
Tổng chứng khoán đầu tư sẵn sàng để bán,Chứng khoán vốn > Tổng chứng khoán đầu tư sẵn sàng để bán,Tổng chứng khoán đầu tư sẵn sàng để bán,108.918.477,44.903.768,108918477.0,44903768.0
Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),,
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,
Chứng khoán Chính phủ (i) (ii),Chứng khoán nợ > Chứng khoán Chính phủ (i) (ii),Chứng khoán Chính phủ (i) (ii),11.171.766,24.853.008,11171766.0,24853008.0
Chứng khoán nợ do các TCTD trong nước phát hành (i),Chứng khoán nợ > Chứng khoán nợ do các TCTD trong nước phát hành (i),Chứng khoán nợ do các TCTD trong nước phát hành (i),1.000.000,3.706.571,1000000.0,3706571.0
Tổng chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán nợ > Tổng chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Tổng chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),12.171.766,28.559.579,12171766.0,28559579.0
Tổng chứng khoán đầu tư,Chứng khoán nợ > Tổng chứng khoán đầu tư,Tổng chứng khoán đầu tư,121.090.243,73.463.347,121090243.0,73463347.0
