row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ dựphòngtài chínhTriệu VND,Các quỹkhác (i)Triệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ dựphòngtài chínhTriệu VND,numeric__Các quỹkhác (i)Triệu VND,numeric__Lợi nhuậnchưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,33.774.351,271.779,2.682.996,6.108.157,428.972,15.172.408,58.438.663,33774351.0,271779.0,2682996.0,6108157.0,428972.0,15172408.0,58438663.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,16.044.733,16.044.733,,,,,,16044733.0,16044733.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,776.087,1.552.175,9.067,(2.337.329),-,,,776087.0,1552175.0,9067.0,-2337329.0,
"Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 20(ii))","Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 20(ii))","Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 20(ii))",-,-,-,-,-,(150.000),(150.000),,,,,,-150000.0,-150000.0
Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),5.066.153,-,-,-,-,(5.066.153),-,5066153.0,,,,,-5066153.0,
Chia cổ tức bằng tiền mặt(Thuyết minh 21.3),Chia cổ tức bằng tiền mặt(Thuyết minh 21.3),Chia cổ tức bằng tiền mặt(Thuyết minh 21.3),-,-,-,-,-,(3.377.435),(3.377.435),,,,,,-3377435.0,-3377435.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,(19),19,-,,,,,-19.0,19.0,
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,38.840.504,271.779,3.459.083,7.660.332,438.020,20.286.243,70.955.961,38840504.0,271779.0,3459083.0,7660332.0,438020.0,20286243.0,70955961.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,16.789.768,16.789.768,,,,,,16789768.0,16789768.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,1.608.520,1.608.520,15.093,(3.232.133),-,,,1608520.0,1608520.0,15093.0,-3232133.0,
"Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 20(ii))","Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 20(ii))","Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 20(ii))",-,-,-,-,-,(400.000),(400.000),,,,,,-400000.0,-400000.0
Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),5.826.075,-,-,-,-,(5.826.075),-,5826075.0,,,,,-5826075.0,
Chia cổ tức bằng tiền mặt(Thuyết minh 21.3),Chia cổ tức bằng tiền mặt(Thuyết minh 21.3),Chia cổ tức bằng tiền mặt(Thuyết minh 21.3),-,-,-,-,-,(3.884.051),(3.884.051),,,,,,-3884051.0,-3884051.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,44.666.579,271.779,5.067.603,9.268.852,453.113,23.733.752,83.461.678,44666579.0,271779.0,5067603.0,9268852.0,453113.0,23733752.0,83461678.0
