row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn > Tại ngày 31 tháng 12 năm 2024,Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2024,Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2024,Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2024,Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2024,Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2024,Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2024,Trên 5 năm > Tại ngày 31 tháng 12 năm 2024,Tổng cộng > Tại ngày 31 tháng 12 năm 2024,numeric__Quá hạn > Tại ngày 31 tháng 12 năm 2024,numeric__Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2024,numeric__Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2024,numeric__Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2024,numeric__Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2024,numeric__Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2024,numeric__Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2024,numeric__Trên 5 năm > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng cộng > Tại ngày 31 tháng 12 năm 2024
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,5.696.449,-,-,-,-,-,-,5.696.449,,5696449.0,,,,,,,5696449.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,25.219.753,-,-,-,-,-,-,25.219.753,,25219753.0,,,,,,,25219753.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,50.000,75.205.589,32.803.797,4.462.659,5.410.214,-,-,117.932.259,,50000.0,75205589.0,32803797.0,4462659.0,5410214.0,,,117932259.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,4.029.088,-,-,-,-,-,-,4.029.088,,4029088.0,,,,,,,4029088.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,55.992,-,-,-,-,-,-,55.992,,55992.0,,,,,,,55992.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),11.317.264,-,17.560.671,508.990.669,31.414.354,10.917.812,178.251,307.227,580.686.248,11317264.0,,17560671.0,508990669.0,31414354.0,10917812.0,178251.0,307227.0,580686248.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,12.661,-,-,7.000.067,50.855.653,19.200.000,44.021.862,121.090.243,,12661.0,,,7000067.0,50855653.0,19200000.0,44021862.0,121090243.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,292.867,-,-,-,-,-,-,292.867,,292867.0,,,,,,,292867.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,5.412.370,-,-,-,-,-,-,5.412.370,,5412370.0,,,,,,,5412370.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,177.005,-,-,-,-,-,-,177.005,,177005.0,,,,,,,177005.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),177.114,10.487.812,32.307,-,-,-,-,-,10.697.233,177114.0,10487812.0,32307.0,,,,,,10697233.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,11.494.378,51.433.997,92.798.567,541.794.466,42.877.080,67.183.679,19.378.251,44.329.089,871.289.507,11494378.0,51433997.0,92798567.0,541794466.0,42877080.0,67183679.0,19378251.0,44329089.0,871289507.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,7.954.853,-,-,-,-,-,7.954.853,,,7954853.0,,,,,,7954853.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,67.065.821,35.384.782,7.929.465,1.211.600,-,-,111.591.668,,,67065821.0,35384782.0,7929465.0,1211600.0,,,111591668.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,128.791.054,171.834.972,116.669.771,89.027.381,30.981.400,-,537.304.578,,,128791054.0,171834972.0,116669771.0,89027381.0,30981400.0,,537304578.0
