row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2024Triệu VND,Tại ngày > 31.12.2023Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2024Triệu VND,numeric__Tại ngày > 31.12.2023Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,5.696.449,6.909.300,,4.0,5696449.0,6909300.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,25.219.753,18.504.814,,5.0,25219753.0,18504814.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,117.882.259,114.873.931,,6.0,117882259.0,114873931.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,117.781.280,114.644.002,,,117781280.0,114644002.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,150.979,279.929,,,150979.0,279929.0
3,A > 3,3,Dự phòng rủi ro,6.3,(50.000),(50.000),,63.0,-50000.0,-50000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,3.881.151,7.177.069,,7.0,3881151.0,7177069.0
1,A > 1,1,Chứng khoán kinh doanh,,4.029.088,7.323.489,,,4029088.0,7323489.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,7.4,(147.937),(146.420),,74.0,-147937.0,-146420.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,55.992,-,,8.0,55992.0,
VI,A > VI,VI,Cho vay khách hàng,9,573.946.692,482.234.900,,9.0,573946692.0,482234900.0
1,A > 1,1,Cho vay khách hàng,,580.686.248,487.601.852,,,580686248.0,487601852.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9.7,(6.739.556),(5.366.952),,97.0,-6739556.0,-5366952.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,121.090.243,73.463.347,,10.0,121090243.0,73463347.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bản,10.1,108.918.477,44.903.768,,101.0,108918477.0,44903768.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10.1,12.171.766,28.559.579,,101.0,12171766.0,28559579.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,124.935,140.025,,11.0,124935.0,140025.0
4,A > 4,4,Đầu tư dài hạn khác,11.2,292.867,303.387,,112.0,292867.0,303387.0
5,A > 5,5,Dự phòng giám giá đầu tư dài hạn,11.3,(167.932),(163.362),,113.0,-167932.0,-163362.0
X,A > X,X,Tài sản cố định,12,5.412.370,4.762.561,,12.0,5412370.0,4762561.0
1,A > 1,1,Tài sản cố định hữu hình,12.1,3.222.198,3.317.568,,121.0,3222198.0,3317568.0
a,A > a,a,Nguyên giá tài sản cố định,,6.504.276,6.256.911,,,6504276.0,6256911.0
b,A > b,b,Hao mòn tài sản cố định,,(3.282.078),(2.939.343),,,-3282078.0,-2939343.0
3,A > 3,3,Tài sản cố định vô hình,12.2,2.190.172,1.444.993,,122.0,2190172.0,1444993.0
a,A > a,a,Nguyên giá tài sản cố định,,2.950.265,2.101.677,,,2950265.0,2101677.0
b,A > b,b,Hao mòn tài sản cố định,,(760.093),(656.684),,,-760093.0,-656684.0
XI,A > XI,XI,Bất động sản đầu tư,13,177.005,177.005,,13.0,177005.0,177005.0
a,A > a,a,Nguyên giá bất động sản đầu tư,,177.005,177.005,,,177005.0,177005.0
b,b,b,Hao mòn bất động sản đầu tư,,-,-,,,,
XII,b > XII,XII,Tài sản Có khác,14,10.518.854,10.551.637,,14.0,10518854.0,10551637.0
1,b > 1,1,Các khoản phải thu,14.1,4.299.649,5.316.951,,141.0,4299649.0,5316951.0
2,b > 2,2,"Các khoản lãi, phí phải thu",,4.954.367,4.282.669,,,4954367.0,4282669.0
3,b > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,14.2,17.318,33.722,,142.0,17318.0,33722.0
4,b > 4,4,Tài sản Có khác,14.3,1.425.899,1.117.080,,143.0,1425899.0,1117080.0
5,b > 5,5,Các khoản dự phòng rủi ro cho các tài sản Cò nội bảng khác,14.4,(178.379),(198.785),,144.0,-178379.0,-198785.0
,,,TỔNG TÀI SẢN,,864.005.703,718.794.589,,,864005703.0,718794589.0
