row_label_raw,row_label_full,Lợi nhuận trước thuế TNDNCác khoản mục điều chỉnh:,Năm 2024Triệu VND > 21.005.871,Năm 2023Triệu VND > 20.067.999,numeric__Năm 2024Triệu VND > 21.005.871,numeric__Năm 2023Triệu VND > 20.067.999
"Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần",36.214,75.610,36214.0,75610.0
"Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần",36.214,75.610,36214.0,75610.0
Cộng (+) Chỉ phí không được khấu trừ khi xác định thu nhậpchiu thuế,Cộng (+) Chỉ phí không được khấu trừ khi xác định thu nhậpchiu thuế,Cộng (+) Chỉ phí không được khấu trừ khi xác định thu nhậpchiu thuế,13.945,159.507,13945.0,159507.0
Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,(145.520),(221.328),-145520.0,-221328.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,20.838.082,19.930.568,20838082.0,19930568.0
Chỉ phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chỉ phí thuế TNDN của các năm trước vào chi phithuế TNDN hiện hành năm nay,Chỉ phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chỉ phí thuế TNDN của các năm trước vào chi phithuế TNDN hiện hành năm nay,Chỉ phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chỉ phí thuế TNDN của các năm trước vào chi phithuế TNDN hiện hành năm nay,4.167.616,3.986.114,4167616.0,3986114.0
Chỉ phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chỉ phí thuế TNDN của các năm trước vào chi phithuế TNDN hiện hành năm nay,Chỉ phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chỉ phí thuế TNDN của các năm trước vào chi phithuế TNDN hiện hành năm nay,Chỉ phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chỉ phí thuế TNDN của các năm trước vào chi phithuế TNDN hiện hành năm nay,32.083,6.908,32083.0,6908.0
Tổng chỉ phí thuế TNDN hiện hành,Tổng chỉ phí thuế TNDN hiện hành,Tổng chỉ phí thuế TNDN hiện hành,4.199.699,3.993.022,4199699.0,3993022.0
Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,2.293.886,2.303.901,2293886.0,2303901.0
Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,(4.108.348),(4.003.037),-4108348.0,-4003037.0
Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,2.385.237,2.293.886,2385237.0,2293886.0
