row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,TSCĐ hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__TSCĐ hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,2.690.563,2.791.386,591.330,183.632,6.256.911,2690563.0,2791386.0,591330.0,183632.0,6256911.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,3.723,91.634,101.661,8.474,205.492,3723.0,91634.0,101661.0,8474.0,205492.0
Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),304.409,-,1.355,-,305.764,304409.0,,1355.0,,305764.0
Chuyển từ tài sản gân nợ,Nguyên giá > Chuyển từ tài sản gân nợ,Chuyển từ tài sản gân nợ,3.222,-,-,-,3.222,3222.0,,,,3222.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(38.332),(55.407),(43.296),(3.501),(140.536),-38332.0,-55407.0,-43296.0,-3501.0,-140536.0
Phân loại lại (Thuyết minh 12.2),Nguyên giá > Phân loại lại (Thuyết minh 12.2),Phân loại lại (Thuyết minh 12.2),(126.577),-,-,-,(126.577),-126577.0,,,,-126577.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.837.008,2.827.613,651.050,188.605,6.504.276,2837008.0,2827613.0,651050.0,188605.0,6504276.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,767.569,1.705.812,315.442,150.520,2.939.343,767569.0,1705812.0,315442.0,150520.0,2939343.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,60.885,332.499,52.082,10.282,455.748,60885.0,332499.0,52082.0,10282.0,455748.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,(11.198),(55.335),(42.979),(3.501),(113.013),-11198.0,-55335.0,-42979.0,-3501.0,-113013.0
Tại ngày 31 tháng 12 năm 2024,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,817.256,1.982.976,324.545,157.301,3.282.078,817256.0,1982976.0,324545.0,157301.0,3282078.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,1.922.994,1.085.574,275.888,33.112,3.317.568,1922994.0,1085574.0,275888.0,33112.0,3317568.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.019.752,844.637,326.505,31.304,3.222.198,2019752.0,844637.0,326505.0,31304.0,3222198.0
