row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tai ngày 1 tháng 1 năm 2024,Nguyên giá > Tai ngày 1 tháng 1 năm 2024,Tai ngày 1 tháng 1 năm 2024,1.152.201,949.476,2.101.677,1152201.0,949476.0,2101677.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,114.845,114.845,,114845.0,114845.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),631.187,43.151,674.338,631187.0,43151.0,674338.0
Chuyển từ tài sản gàn nợ,Nguyên giá > Chuyển từ tài sản gàn nợ,Chuyển từ tài sản gàn nợ,8.278,-,8.278,8278.0,,8278.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(75.297),-,(75.297),-75297.0,,-75297.0
Phân loại lại (Thuyết minh 12.1),Nguyên giá > Phân loại lại (Thuyết minh 12.1),Phân loại lại (Thuyết minh 12.1),126.577,-,126.577,126577.0,,126577.0
Biển động khác,Nguyên giá > Biển động khác,Biển động khác,(153),-,(153),-153.0,,-153.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,1.842.793,1.107.472,2.950.265,1842793.0,1107472.0,2950265.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Tại ngày 1 tháng 1 năm 2024,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,1.333,655.351,656.684,1333.0,655351.0,656684.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.419,94.735,105.154,10419.0,94735.0,105154.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,(1.745),-,(1.745),-1745.0,,-1745.0
Tại ngày 31 tháng 12 năm 2024,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,10.007,750.086,760.093,10007.0,750086.0,760093.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,1.150.868,294.125,1.444.993,1150868.0,294125.0,1444993.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,1.832.786,357.386,2.190.172,1832786.0,357386.0,2190172.0
Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,,,
,,,,31.12.2024Triệu VND,31.12.2023Triệu VND,,,
Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vân còn sử dụng,Thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vân còn sử dụng,Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vân còn sử dụng,,493.286,446.629,,493286.0,446629.0
BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,,,
,,,,31.12.2024Triệu VND,31.12.2023Triệu VND,,,
Bất đóng sản đầu tư nằm giữ chờ tăng giả,BẮT ĐỘNG SẢN ĐẦU TƯ > Bất đóng sản đầu tư nằm giữ chờ tăng giả,Bất đóng sản đầu tư nằm giữ chờ tăng giả,,177.005,177.005,,177005.0,177005.0
