row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2024 > Giá trị ghi sốTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Mệnh giáTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Giá trị ghi sốTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Mệnh giáTriệu VND
Trái phiếu,Trái phiếu,Trái phiếu,,,,
Trái phiếu kỳ hạn từ một năm đến hai năm,Trái phiếu > Trái phiếu kỳ hạn từ một năm đến hai năm,Trái phiếu kỳ hạn từ một năm đến hai năm,37.399.160,37.400.000,37399160.0,37400000.0
Trái phiếu kỳ hạn ba năm,Trái phiếu > Trái phiếu kỳ hạn ba năm,Trái phiếu kỳ hạn ba năm,2.069.789,2.070.000,2069789.0,2070000.0
Trái phiếu kỳ hạn năm năm,Trái phiếu > Trái phiếu kỳ hạn năm năm,Trái phiếu kỳ hạn năm năm,3.814.587,3.820.000,3814587.0,3820000.0
Trái phiếu kỳ hạn mươi năm,Trái phiếu > Trái phiếu kỳ hạn mươi năm,Trái phiếu kỳ hạn mươi năm,2.416.910,2.430.000,2416910.0,2430000.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,,,,
Chứng chỉ tiền gửi kỳ hạn dưới một năm,Chứng chỉ tiền gửi > Chứng chỉ tiền gửi kỳ hạn dưới một năm,Chứng chỉ tiền gửi kỳ hạn dưới một năm,55.950.000,55.950.000,55950000.0,55950000.0
,,,101.650.446,101.670.000,101650446.0,101670000.0
,,,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,
,,,Giá trị ghi sốTriệu VND,Mệnh giáTriệu VND,,
Trái phiếu,Trái phiếu,Trái phiếu,,,,
Trái phiếu kỳ hạn từ một năm đến hai năm,Trái phiếu > Trái phiếu kỳ hạn từ một năm đến hai năm,Trái phiếu kỳ hạn từ một năm đến hai năm,23.549.317,23.550.000,23549317.0,23550000.0
Trái phiếu kỳ hạn ba năm,Trái phiếu > Trái phiếu kỳ hạn ba năm,Trái phiếu kỳ hạn ba năm,11.199.891,11.200.000,11199891.0,11200000.0
Trái phiếu kỳ hạn năm năm,Trái phiếu > Trái phiếu kỳ hạn năm năm,Trái phiếu kỳ hạn năm năm,1.497.202,1.500.000,1497202.0,1500000.0
Trái phiếu kỳ hạn mươi năm,Trái phiếu > Trái phiếu kỳ hạn mươi năm,Trái phiếu kỳ hạn mươi năm,2.413.604,2.430.000,2413604.0,2430000.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,,,,
Chứng chỉ tiền gửi kỳ hạn dưới một năm,Chứng chỉ tiền gửi > Chứng chỉ tiền gửi kỳ hạn dưới một năm,Chứng chỉ tiền gửi kỳ hạn dưới một năm,13.750.000,13.750.000,13750000.0,13750000.0
,,,52.410.014,52.430.000,52410014.0,52430000.0
