row_label_raw,row_label_full,col_0,31.12.2024Triệu VND,31.12.2023Triệu VND,numeric__31.12.2024Triệu VND,numeric__31.12.2023Triệu VND
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,
Chứng khoán Chính phủ,Chứng khoán nợ > Chứng khoán Chính phủ,Chứng khoán Chính phủ,841.743,1.879.766,841743.0,1879766.0
Chứng khoán nợ do các TCTD trong nước phát hành,Chứng khoán nợ > Chứng khoán nợ do các TCTD trong nước phát hành,Chứng khoán nợ do các TCTD trong nước phát hành,-,4.000.000,,4000000.0
Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,,
Chứng khoán vốn do các TCTD trong nước phát hành,Chứng khoán vốn > Chứng khoán vốn do các TCTD trong nước phát hành,Chứng khoán vốn do các TCTD trong nước phát hành,1.330.831,791.985,1330831.0,791985.0
Chứng khoán vốn do các TCKT trong nước phát hành (i),Chứng khoán vốn > Chứng khoán vốn do các TCKT trong nước phát hành (i),Chứng khoán vốn do các TCKT trong nước phát hành (i),1.856.514,651.738,1856514.0,651738.0
Tổng chứng khoán kinh doanh,Chứng khoán vốn > Tổng chứng khoán kinh doanh,Tổng chứng khoán kinh doanh,4.029.088,7.323.489,4029088.0,7323489.0
Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,
Dự phòng giảm giả chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh > Dự phòng giảm giả chứng khoán kinh doanh,Dự phòng giảm giả chứng khoán kinh doanh,(147.937),(146.420),-147937.0,-146420.0
,,,3.881.151,7.177.069,3881151.0,7177069.0
