row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị VND,31/12/2025 > Số có khả năng trả nợ VND,01/01/2025 > Giá trị VND,01/01/2025 > Số có khả năng trả nợ VND,numeric__31/12/2025 > Giá trị VND,numeric__31/12/2025 > Số có khả năng trả nợ VND,numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngắn hạn (1),Vay ngắn hạn > Vay ngắn hạn (1),Vay ngắn hạn (1),3.450.159.067.681,3.450.159.067.681,3.645.194.349.165,3.645.194.349.165,3450159067681.0,3450159067681.0,3645194349165.0,3645194349165.0
Vay dài hạn đến hạn trả (5.22.2) (1),Vay ngắn hạn > Vay dài hạn đến hạn trả (5.22.2) (1),Vay dài hạn đến hạn trả (5.22.2) (1),103.849.010.819,103.849.010.819,52.801.709.784,52.801.709.784,103849010819.0,103849010819.0,52801709784.0,52801709784.0
Trái phiếu thường đến hạn trả (2),Trái phiếu thường đến hạn trả (2),Trái phiếu thường đến hạn trả (2),,,,,,,,
- Trái phiếu - Ngân hàng TMCP Hàng Hải Việt Nam - Chi nhánh TPHCM,Trái phiếu thường đến hạn trả (2) > - Trái phiếu - Ngân hàng TMCP Hàng Hải Việt Nam - Chi nhánh TPHCM,- Trái phiếu - Ngân hàng TMCP Hàng Hải Việt Nam - Chi nhánh TPHCM,376.000.000.000,376.000.000.000,-,-,376000000000.0,376000000000.0,,
- Quỹ Đầu tư cơ hội PVI,Trái phiếu thường đến hạn trả (2) > - Quỹ Đầu tư cơ hội PVI,- Quỹ Đầu tư cơ hội PVI,-,-,86.000.000.000,86.000.000.000,,,86000000000.0,86000000000.0
- Quỹ Đầu tư hạ tầng PVI,Trái phiếu thường đến hạn trả (2) > - Quỹ Đầu tư hạ tầng PVI,- Quỹ Đầu tư hạ tầng PVI,-,-,14.000.000.000,14.000.000.000,,,14000000000.0,14000000000.0
- Công ty CP Chứng khoán Ngân hàng TMCP Công Thương Việt Nam,Trái phiếu thường đến hạn trả (2) > - Công ty CP Chứng khoán Ngân hàng TMCP Công Thương Việt Nam,- Công ty CP Chứng khoán Ngân hàng TMCP Công Thương Việt Nam,11.900.000.000,11.900.000.000,24.600.000.000,24.600.000.000,11900000000.0,11900000000.0,24600000000.0,24600000000.0
- Chi phí phát hành trái phiếu,Trái phiếu thường đến hạn trả (2) > - Chi phí phát hành trái phiếu,- Chi phí phát hành trái phiếu,(2.040.000.000),(2.040.000.000),(4.287.999.996),(4.287.999.996),-2040000000.0,-2040000000.0,-4287999996.0,-4287999996.0
,,,3.939.868.078.500,3.939.868.078.500,3.818.308.058.953,3.818.308.058.953,3939868078500.0,3939868078500.0,3818308058953.0,3818308058953.0
