row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị VND,31/12/2025 > Số có khả năng trả nợ VND,01/01/2025 > Giá trị VND,01/01/2025 > Số có khả năng trả nợ VND,numeric__31/12/2025 > Giá trị VND,numeric__31/12/2025 > Số có khả năng trả nợ VND,numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Số có khả năng trả nợ VND
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,,,,
Công ty CP Trang trí Nội thất Onwa Tech,Phải trả các bên liên quan > Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,11.697.605.217,11.697.605.217,11.707.359.994,11.707.359.994,11697605217.0,11697605217.0,11707359994.0,11707359994.0
Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,,,,
Công ty Cổ phần Best Quality Construction (tên cũ là Công ty CP Cơ khí và Nhôm kính Anh Việt),Phải trả các nhà cung cấp khác > Công ty Cổ phần Best Quality Construction (tên cũ là Công ty CP Cơ khí và Nhôm kính Anh Việt),Công ty Cổ phần Best Quality Construction (tên cũ là Công ty CP Cơ khí và Nhôm kính Anh Việt),32.786.355.404,32.786.355.404,36.538.762.720,36.538.762.720,32786355404.0,32786355404.0,36538762720.0,36538762720.0
Công ty TNHH MTV Máy Xây dựng Matec,Phải trả các nhà cung cấp khác > Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,95.008.477.548,95.008.477.548,46.892.438.068,46.892.438.068,95008477548.0,95008477548.0,46892438068.0,46892438068.0
Công ty CP Kỹ thuật Jesco Hòa Bình,Phải trả các nhà cung cấp khác > Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,19.353.711.830,19.353.711.830,39.842.624.314,39.842.624.314,19353711830.0,19353711830.0,39842624314.0,39842624314.0
Công ty TNHH DV Thương Mại và Sản Xuất Thịnh Vương,Phải trả các nhà cung cấp khác > Công ty TNHH DV Thương Mại và Sản Xuất Thịnh Vương,Công ty TNHH DV Thương Mại và Sản Xuất Thịnh Vương,122.603.574.737,122.603.574.737,26.851.556.564,26.851.556.564,122603574737.0,122603574737.0,26851556564.0,26851556564.0
Công ty Cổ phần Gamuda Land (HCMC),Phải trả các nhà cung cấp khác > Công ty Cổ phần Gamuda Land (HCMC),Công ty Cổ phần Gamuda Land (HCMC),107.710.682.080,107.710.682.080,118.366.585.100,118.366.585.100,107710682080.0,107710682080.0,118366585100.0,118366585100.0
Công ty TNHH Kajima Việt Nam,Phải trả các nhà cung cấp khác > Công ty TNHH Kajima Việt Nam,Công ty TNHH Kajima Việt Nam,102.146.335.667,102.146.335.667,20.081.972.187,20.081.972.187,102146335667.0,102146335667.0,20081972187.0,20081972187.0
Công ty Cổ phần Xây dựng và Thương mại Đất Phương Nam,Phải trả các nhà cung cấp khác > Công ty Cổ phần Xây dựng và Thương mại Đất Phương Nam,Công ty Cổ phần Xây dựng và Thương mại Đất Phương Nam,-,-,157.756.375.070,157.756.375.070,,,157756375070.0,157756375070.0
Công ty TNHH Xây dựng và Thương mại Tam Quan,Phải trả các nhà cung cấp khác > Công ty TNHH Xây dựng và Thương mại Tam Quan,Công ty TNHH Xây dựng và Thương mại Tam Quan,56.470.287.961,56.470.287.961,58.912.686.219,58.912.686.219,56470287961.0,56470287961.0,58912686219.0,58912686219.0
Công ty CP Thép và Vật tư Xây Dương,Phải trả các nhà cung cấp khác > Công ty CP Thép và Vật tư Xây Dương,Công ty CP Thép và Vật tư Xây Dương,82.950.861.979,82.950.861.979,59.339.990.260,59.339.990.260,82950861979.0,82950861979.0,59339990260.0,59339990260.0
Phải trả nhà cung cấp khác,Phải trả các nhà cung cấp khác > Phải trả nhà cung cấp khác,Phải trả nhà cung cấp khác,3.554.112.009.317,3.554.112.009.317,3.594.448.815.927,3.594.448.815.927,3554112009317.0,3554112009317.0,3594448815927.0,3594448815927.0
,,,4.184.839.901.740,4.184.839.901.740,4.170.739.166.423,4.170.739.166.423,4184839901740.0,4184839901740.0,4170739166423.0,4170739166423.0
