row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch tỷ giá,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư 01/01/2024,Số dư 01/01/2024,Số dư 01/01/2024,2.741.332.700.000,458.969.112.981,56.445.099,96.836.842.472,(3.240.326.644.959),36.512.532.637,93.380.988.230,2741332700000.0,458969112981.0,56445099.0,96836842472.0,-3240326644959.0,36512532637.0,93380988230.0
Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,730.800.000.000,-,-,-,-,,730.800.000.000,730800000000.0,,,,,,730800000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,959.786.100.623,3.176.381.983,962.962.482.606,,,,,959786100623.0,3176381983.0,962962482606.0
"Tăng, giảm khác","Tăng, giảm khác","Tăng, giảm khác",-,(400.000.000),-,(127.250.747),(18.773.331.388),(19.942.891.371),(39.243.473.506),,-400000000.0,,-127250747.0,-18773331388.0,-19942891371.0,-39243473506.0
Số dư 31/12/2024,Số dư 31/12/2024,Số dư 31/12/2024,3.472.132.700.000,458.569.112.981,56.445.099,96.709.591.725,(2.299.313.875.724),19.746.023.249,1.747.899.997.330,3472132700000.0,458569112981.0,56445099.0,96709591725.0,-2299313875724.0,19746023249.0,1747899997330.0
Số dư 01/01/2025,Số dư 01/01/2025,Số dư 01/01/2025,3.472.132.700.000,458.569.112.981,56.445.099,96.709.591.725,(2.299.313.875.724),19.746.023.249,1.747.899.997.330,3472132700000.0,458569112981.0,56445099.0,96709591725.0,-2299313875724.0,19746023249.0,1747899997330.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,250.557.236.397,387.261.878,250.944.498.275,,,,,250557236397.0,387261878.0,250944498275.0
Tăng/ giảm khác,Tăng/ giảm khác,Tăng/ giảm khác,-,-,-,-,(36.121.824.615),(5.142.625.074),(41.264.449.689),,,,,-36121824615.0,-5142625074.0,-41264449689.0
Số dư 31/12/2025,Số dư 31/12/2025,Số dư 31/12/2025,3.472.132.700.000,458.569.112.981,56.445.099,96.709.591.725,(2.084.878.463.942),14.990.660.053,1.957.580.045.916,3472132700000.0,458569112981.0,56445099.0,96709591725.0,-2084878463942.0,14990660053.0,1957580045916.0
