row_label_raw,row_label_full,Phần mềm máy tính,Quyền sử dụng đất,Tài sản vô hình khác VND,Tổng VND,numeric__Quyền sử dụng đất,numeric__Tài sản vô hình khác VND,numeric__Tổng VND
VND,VND,VND,VND,Tài sản vô hình khác VND,Tổng VND,,,
36.595.540.728,VND > 36.595.540.728,36.595.540.728,42.297.185.783,1.216.005.358,80.108.731.869,42297185783.0,1216005358.0,80108731869.0
50.000.000,VND > 50.000.000,50.000.000,-,-,50.000.000,,,50000000.0
-,VND > -,-,(2.506.932.943),-,(2.506.932.943),-2506932943.0,,-2506932943.0
36.645.540.728,VND > 36.645.540.728,36.645.540.728,39.790.252.840,1.216.005.358,77.651.798.926,39790252840.0,1216005358.0,77651798926.0
28.457.626.397,VND > 28.457.626.397,28.457.626.397,-,1.216.005.358,29.673.631.755,,1216005358.0,29673631755.0
2.791.408.335,VND > 2.791.408.335,2.791.408.335,-,-,2.791.408.335,,,2791408335.0
31.249.034.732,VND > 31.249.034.732,31.249.034.732,-,1.216.005.358,32.465.040.090,,1216005358.0,32465040090.0
8.137.914.331,VND > 8.137.914.331,8.137.914.331,42.297.185.783,-,50.435.100.114,42297185783.0,,50435100114.0
5.396.505.996,VND > 5.396.505.996,5.396.505.996,39.790.252.840,-,45.186.758.836,39790252840.0,,45186758836.0
