row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhà cửa, vật kiến trúc VND",Tổng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 01/01/2025,Nguyên giá > Tại ngày 01/01/2025,Tại ngày 01/01/2025,56.809.363.600,111.028.835.732,167.838.199.332,56809363600.0,111028835732.0,167838199332.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,310.109.000,535.501.000,845.610.000,310109000.0,535501000.0,845610000.0
Tại ngày 31/12/2025,Nguyên giá > Tại ngày 31/12/2025,Tại ngày 31/12/2025,57.119.472.600,111.564.336.732,168.683.809.332,57119472600.0,111564336732.0,168683809332.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Tại ngày 01/01/2025,Giá trị hao mòn lũy kế > Tại ngày 01/01/2025,Tại ngày 01/01/2025,-,3.909.929.917,3.909.929.917,,3909929917.0,3909929917.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,647.884.260,647.884.260,,647884260.0,647884260.0
Tại ngày 31/12/2025,Giá trị hao mòn lũy kế > Tại ngày 31/12/2025,Tại ngày 31/12/2025,-,4.557.814.177,4.557.814.177,,4557814177.0,4557814177.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 01/01/2025,Giá trị còn lại > Tại ngày 01/01/2025,Tại ngày 01/01/2025,56.809.363.600,107.118.905.815,163.928.269.415,56809363600.0,107118905815.0,163928269415.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,57.119.472.600,107.006.522.555,164.125.995.155,57119472600.0,107006522555.0,164125995155.0
