row_label_raw,row_label_full,Số đầu năm,Năm 2025VND > 39.574.922.412,Năm 2024VND > 55.439.373.282,numeric__Năm 2025VND > 39.574.922.412,numeric__Năm 2024VND > 55.439.373.282
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(265.893.759),(15.864.450.870),-265893759.0,-15864450870.0
Số cuối năm,Số cuối năm,Số cuối năm,39.309.028.653,39.574.922.412,39309028653.0,39574922412.0
