row_label_raw,row_label_full,col_0,Mã số,Năm 2025VND,Năm 2024VND,numeric__Mã số,numeric__Năm 2025VND,numeric__Năm 2024VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,270.761.246.460,1.009.351.523.017,1.0,270761246460.0,1009351523017.0
Khấu hao tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,210.875.680.432,163.603.969.383,2.0,210875680432.0,163603969383.0
Các khoản dự phòng/ (hoàn nhập),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng/ (hoàn nhập),Các khoản dự phòng/ (hoàn nhập),03,(201.441.086.890),(554.717.537.785),3.0,-201441086890.0,-554717537785.0
(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục có số dư ngoại tệ cuối năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục có số dư ngoại tệ cuối năm,(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục có số dư ngoại tệ cuối năm,04,345.957.681,16.357.690,4.0,345957681.0,16357690.0
(Lãi)/lỗ từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Lãi)/lỗ từ hoạt động đầu tư,(Lãi)/lỗ từ hoạt động đầu tư,05,(182.842.739.123),(742.657.283.906),5.0,-182842739123.0,-742657283906.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,383.801.418.376,404.156.249.744,6.0,383801418376.0,404156249744.0
Các khoản điều chỉnh khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,-,7.0,,
Lợi nhuận KD trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận KD trước những thay đổi vốn lưu động,Lợi nhuận KD trước những thay đổi vốn lưu động,08,481.500.476.936,279.753.278.143,8.0,481500476936.0,279753278143.0
(Tăng)/giảm các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Tăng)/giảm các khoản phải thu,(Tăng)/giảm các khoản phải thu,09,998.770.831.311,876.491.770.466,9.0,998770831311.0,876491770466.0
(Tăng)/giảm hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Tăng)/giảm hàng tồn kho,(Tăng)/giảm hàng tồn kho,10,(574.138.438.874),(63.154.730.714),10.0,-574138438874.0,-63154730714.0
Tăng/ (giảm) các khoản phải trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng/ (giảm) các khoản phải trả,Tăng/ (giảm) các khoản phải trả,11,627.475.452.039,(432.073.547.877),11.0,627475452039.0,-432073547877.0
(Tăng)/ giảm chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Tăng)/ giảm chi phí trả trước,(Tăng)/ giảm chi phí trả trước,12,(64.108.556.275),67.898.899.413,12.0,-64108556275.0,67898899413.0
(Tăng)/ giảm chứng khoán kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Tăng)/ giảm chứng khoán kinh doanh,(Tăng)/ giảm chứng khoán kinh doanh,13,-,-,13.0,,
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(366.385.395.086),(421.887.715.480),14.0,-366385395086.0,-421887715480.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(1.938.504.713),(7.295.686.353),15.0,-1938504713.0,-7295686353.0
Tiền thu khác từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,-,-,16.0,,
Tiền chi khác từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,(243.400.000),63.311.670,17.0,-243400000.0,63311670.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.100.932.465.338,299.795.579.268,20.0,1100932465338.0,299795579268.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi mua sắm, XD TSCĐ và các TSDH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, XD TSCĐ và các TSDH khác","Tiền chi mua sắm, XD TSCĐ và các TSDH khác",21,(885.090.513.498),(193.584.210.680),21.0,-885090513498.0,-193584210680.0
"Tiền thu thanh lý, nhượng bán TSCĐ và TSDH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu thanh lý, nhượng bán TSCĐ và TSDH khác","Tiền thu thanh lý, nhượng bán TSCĐ và TSDH khác",22,107.826.821.935,204.258.591.380,22.0,107826821935.0,204258591380.0
"Tiền chi cho vay, mua công cụ nợ của đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, mua công cụ nợ của đơn vị khác","Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(45.912.312.554),(126.513.060.985),23.0,-45912312554.0,-126513060985.0
"Tiền thu hồi cho vay, bán lại công cụ nợ của ĐV khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán lại công cụ nợ của ĐV khác","Tiền thu hồi cho vay, bán lại công cụ nợ của ĐV khác",24,49.679.217.604,58.228.160.616,24.0,49679217604.0,58228160616.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,-,(2.153.907.732),25.0,,-2153907732.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,-,74.402.520.000,26.0,,74402520000.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,2.026.075.099,14.029.487.178,27.0,2026075099.0,14029487178.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(771.470.711.414),28.667.579.777,30.0,-771470711414.0,28667579777.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tiền thu từ nhận vốn góp của chủ sở hữu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ nhận vốn góp của chủ sở hữu,Tiền thu từ nhận vốn góp của chủ sở hữu,31,-,-,31.0,,
Tiền chi trả vốn góp cho các chủ sở hữu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chi trả vốn góp cho các chủ sở hữu,Tiền chi trả vốn góp cho các chủ sở hữu,32,-,-,32.0,,
