row_label_raw,row_label_full,Nợ quá hạn,31/12/2025,31/12/2025_1,01/01/2025,01/01/2025_1,numeric__31/12/2025,numeric__31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,,
Công ty CP Kinh doanh và Xây dựng Quang Minh,Nợ quá hạn > Công ty CP Kinh doanh và Xây dựng Quang Minh,Công ty CP Kinh doanh và Xây dựng Quang Minh,124.490.373.682,(124.490.373.682),182.636.665.903,(175.787.642.008),124490373682.0,-124490373682.0,182636665903.0,-175787642008.0
Công ty CP Đầu tư Thương mại Dịch vụ Cầu Giấy,Nợ quá hạn > Công ty CP Đầu tư Thương mại Dịch vụ Cầu Giấy,Công ty CP Đầu tư Thương mại Dịch vụ Cầu Giấy,93.209.033.426,(93.076.240.889),121.888.827.177,(120.027.531.192),93209033426.0,-93076240889.0,121888827177.0,-120027531192.0
Công ty CP Xây dựng và Quản lý nhà An Trung Phát,Nợ quá hạn > Công ty CP Xây dựng và Quản lý nhà An Trung Phát,Công ty CP Xây dựng và Quản lý nhà An Trung Phát,71.124.662.057,(70.840.829.057),71.124.662.057,(70.840.829.057),71124662057.0,-70840829057.0,71124662057.0,-70840829057.0
Công ty CP Xây dựng và Phát triển Đô thị,Nợ quá hạn > Công ty CP Xây dựng và Phát triển Đô thị,Công ty CP Xây dựng và Phát triển Đô thị,129.828.770.259,(129.082.335.767),129.828.770.259,(129.082.335.767),129828770259.0,-129082335767.0,129828770259.0,-129082335767.0
Công ty CP Tập đoàn TMS,Nợ quá hạn > Công ty CP Tập đoàn TMS,Công ty CP Tập đoàn TMS,-,-,112.472.954.437,(112.472.954.437),,,112472954437.0,-112472954437.0
Các khách hàng khác,Nợ quá hạn > Các khách hàng khác,Các khách hàng khác,1.958.096.545.354,(1.291.355.221.946),1.804.742.542.261,(1.288.864.265.422),1958096545354.0,-1291355221946.0,1804742542261.0,-1288864265422.0
,,,2.376.749.384.778,(1.708.845.001.341),2.422.694.422.094,(1.897.075.557.883),2376749384778.0,-1708845001341.0,2422694422094.0,-1897075557883.0
