row_label_raw,row_label_full,Tên công ty,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phân sở hữu,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ phân sở hữu
Công ty TNHH Hòa BìnhMyanmar,Công ty TNHH Hòa BìnhMyanmar,Công ty TNHH Hòa BìnhMyanmar,"Thiết kế, xây dựng và cung cấp dịch vụ giám định kỹ thuật, quản lý xây dựng và quản lý dự án","100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty TNHH MTV Trung tâm đổi mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đổi mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đổi mới sáng tạo Hòa Bình,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học kỹ thuật công nghệ.,"100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty TNHH Quy Hoạch Và Kiến Trúc Hoà Bình,Công ty TNHH Quy Hoạch Và Kiến Trúc Hoà Bình,Công ty TNHH Quy Hoạch Và Kiến Trúc Hoà Bình,"Tư vấn xây dựng, khảo sát công trình, thiết kế kiến trúc công trình","51,00%","51,00%","51,00%",,0.51,0.51,0.51
Công ty Cổ phần Thương mại và Đầu tư Pax,Công ty Cổ phần Thương mại và Đầu tư Pax,Công ty Cổ phần Thương mại và Đầu tư Pax,Bán buôn vật liệu thiết bị lắp đặt trong xây dựng,"100,00%","100,00%","100,00%",,1.0,1.0,1.0
