row_label_raw,row_label_full,Tên công ty,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ phần sở hữu
Công ty CP Bất động sản Okamura Sanyo,Công ty CP Bất động sản Okamura Sanyo,Công ty CP Bất động sản Okamura Sanyo,"Tư vấn, quản lý và môi giới bất động sản","50,55%","50,57%","50,55%",,0.5055,0.5057,0.5055
Công ty TNHH MTV Pax Sky Sài Gòn,Công ty TNHH MTV Pax Sky Sài Gòn,Công ty TNHH MTV Pax Sky Sài Gòn,"Tư vấn, quản lý và môi giới bất động sản","99,96%","100,00%","99,96%",,0.9995999999999999,1.0,0.9995999999999999
Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Kinh doanh bất động sản và quyền sử dụng đất và xây dựng nhà các loại,"99,74%","99,74%","99,74%",,0.9974,0.9974,0.9974
Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Kinh doanh bất động sản và quyền sử dụng đất,"99,32%","99,58%","99,32%",,0.9932,0.9958,0.9932
Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Kinh doanh phát triển các dự án bất động sản,"99,74%","100,00%","99,74%",,0.9974,1.0,0.9974
Công ty CP Tiến Phát Tân Thuận,Công ty CP Tiến Phát Tân Thuận,Công ty CP Tiến Phát Tân Thuận,Kinh doanh bất động sản và quyền sử dụng đất,"99,24%","99,49%","99,24%",,0.9924,0.9948999999999999,0.9924
Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Kinh doanh bất động sản,"99,74%","100,00%","99,74%",,0.9974,1.0,0.9974
Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,"Mua bán vật liệu xây dựng, hàng trang trí hàng nội thất, xúc tiền thương mại, đại lý ký gửi hàng hóa, dịch vụ quảng cáo, lắp đặt và gia công hàng trang trí nội thất","86,73%","88,53%","86,73%",,0.8673000000000001,0.8853,0.8673000000000001
Công ty CP Đầu tư và Phát triển Hòa Yên,Công ty CP Đầu tư và Phát triển Hòa Yên,Công ty CP Đầu tư và Phát triển Hòa Yên,Đầu tư các dự án xây dựng công trình giao thông,"97,53%","98,00%","97,53%",,0.9753000000000001,0.98,0.9753000000000001
Công ty CP Đầu tư Phát triển Hòa Bình Huế,Công ty CP Đầu tư Phát triển Hòa Bình Huế,Công ty CP Đầu tư Phát triển Hòa Bình Huế,Đầu tư xây dựng Khu biệt thự nghĩ dưỡng cao cấp Le Royal An Nam,"93,90%","95,00%","93,90%",,0.9390000000000001,0.95,0.9390000000000001
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,"Xây dựng nhà các loại, hoàn thiện công trình xây dựng, chuẩn bị mặt bằng, lắp đặt hệ thống cấp thoát nước, trang trí nội thất và kinh doanh bất động sản","97,97%","100,00%","97,97%",,0.9797,1.0,0.9797
