row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,,4.626.996.135.770,6.425.200.748.471,1.0,,4626996135770.0,6425200748471.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,6.715.742.847,4.355.826.317,2.0,,6715742847.0,4355826317.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,10,6.1,4.620.280.392.923,6.420.844.922.154,10.0,61.0,4620280392923.0,6420844922154.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.2,4.316.015.125.519,6.063.289.790.982,11.0,62.0,4316015125519.0,6063289790982.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,20,,304.265.267.404,357.555.131.172,20.0,,304265267404.0,357555131172.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.3,298.929.608.782,244.659.048.005,21.0,63.0,298929608782.0,244659048005.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.4,394.434.040.655,407.663.872.217,22.0,64.0,394434040655.0,407663872217.0
Trong đó: chi phí lãi vay,Trong đó: chi phí lãi vay,Trong đó: chi phí lãi vay,23,,383.801.418.376,404.156.249.744,23.0,,383801418376.0,404156249744.0
"Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết",24,,(2.919.662.188),(26.447.830.409),24.0,,-2919662188.0,-26447830409.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,6.5,39.748.095.306,36.187.206.813,25.0,65.0,39748095306.0,36187206813.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.6,106.297.429.890,(266.891.075.289),26.0,66.0,106297429890.0,-266891075289.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,30,,59.795.648.147,398.806.345.027,30.0,,59795648147.0,398806345027.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.7,272.468.534.362,635.840.175.276,31.0,67.0,272468534362.0,635840175276.0
Chi phí khác,Chi phí khác,Chi phí khác,32,6.8,61.502.936.049,25.294.997.286,32.0,68.0,61502936049.0,25294997286.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,210.965.598.313,610.545.177.990,40.0,,210965598313.0,610545177990.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,270.761.246.460,1.009.351.523.017,50.0,,270761246460.0,1009351523017.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,5.18,5.126.229.641,13.745.134.129,51.0,518.0,5126229641.0,13745134129.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,5.18,14.690.518.544,32.643.906.282,52.0,518.0,14690518544.0,32643906282.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,250.944.498.275,962.962.482.606,60.0,,250944498275.0,962962482606.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,,250.557.236.397,959.786.100.623,61.0,,250557236397.0,959786100623.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,387.261.878,3.176.381.983,62.0,,387261878.0,3176381983.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,6.9,806,3.089,70.0,69.0,806.0,3089.0
