row_label_raw,row_label_full,col_0,31/12/2022 > Giá gốc,31/12/2022 > Dự phòng,31/12/2022 > Giá trị hợp lý,01/01/2022 > Giá gốc,01/01/2022 > Dự phòng,01/01/2022 > Giá trị hợp lý,numeric__31/12/2022 > Giá gốc,numeric__31/12/2022 > Dự phòng,numeric__31/12/2022 > Giá trị hợp lý,numeric__01/01/2022 > Giá gốc,numeric__01/01/2022 > Dự phòng,numeric__01/01/2022 > Giá trị hợp lý
02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),393.731.440.114,(54.160.976.452),362.922.740.116,354.526.105.622,(22.172.522.807),347.574.404.863,393731440114.0,-54160976452.0,362922740116.0,354526105622.0,-22172522807.0,347574404863.0
02.3. Đầu tư góp vốn vào đơn vị khác,02.3. Đầu tư góp vốn vào đơn vị khác,02.3. Đầu tư góp vốn vào đơn vị khác,,,,,,,,,,,,
Công ty CP Vũng Tàu Intourco,02.3. Đầu tư góp vốn vào đơn vị khác > Công ty CP Vũng Tàu Intourco,Công ty CP Vũng Tàu Intourco,3.850.000.000,(326.439.295),3.523.560.705,3.850.000.000,-,3.850.000.000,3850000000.0,-326439295.0,3523560705.0,3850000000.0,,3850000000.0
Công ty CP EVN Quốc Tế,02.3. Đầu tư góp vốn vào đơn vị khác > Công ty CP EVN Quốc Tế,Công ty CP EVN Quốc Tế,44.118.073.392,-,58.579.200.000,44.118.073.392,-,58.579.200.000,44118073392.0,,58579200000.0,44118073392.0,,58579200000.0
Công ty CP Du lịch Sài Gòn Đông Hà,02.3. Đầu tư góp vốn vào đơn vị khác > Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Du lịch Sài Gòn Đông Hà,13.877.341.956,(7.784.515.153),6.092.826.803,13.877.341.956,(7.784.515.153),6.092.826.803,13877341956.0,-7784515153.0,6092826803.0,13877341956.0,-7784515153.0,6092826803.0
Công ty CP Điện Việt Lào,02.3. Đầu tư góp vốn vào đơn vị khác > Công ty CP Điện Việt Lào,Công ty CP Điện Việt Lào,79.567.924.335,-,79.567.924.335,79.567.924.335,,79.567.924.335,79567924335.0,,79567924335.0,79567924335.0,,79567924335.0
Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,02.3. Đầu tư góp vốn vào đơn vị khác > Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,24.418.782.000,(8.131.454.406),25.178.477.440,24.418.782.000,-,25.178.477.440,24418782000.0,-8131454406.0,25178477440.0,24418782000.0,,25178477440.0
Công ty CP Đầu tư XD & XNK Cao su,02.3. Đầu tư góp vốn vào đơn vị khác > Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Đầu tư XD & XNK Cao su,1.500.000.000,(1.116.653.096),383.346.904,1.500.000.000,(945.410.015),554.589.985,1500000000.0,-1116653096.0,383346904.0,1500000000.0,-945410015.0,554589985.0
Công ty CP BOT QL13 An Lộc-Hoa Lư,02.3. Đầu tư góp vốn vào đơn vị khác > Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP BOT QL13 An Lộc-Hoa Lư,23.082.813.181,(23.082.813.181),-,23.082.813.181,,23.082.813.181,23082813181.0,-23082813181.0,,23082813181.0,,23082813181.0
Công ty CP Đầu tư Vĩnh Sơn,02.3. Đầu tư góp vốn vào đơn vị khác > Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Đầu tư Vĩnh Sơn,51.808.000.000,(13.187.167.420),38.620.832.580,51.808.000.000,(13.442.597.639),38.365.402.361,51808000000.0,-13187167420.0,38620832580.0,51808000000.0,-13442597639.0,38365402361.0
