row_label_raw,row_label_full,col_0,Giá trị,Số có khả năngtrả nợ,Tăng,Giảm,Giá trị_1,Số có khả năngtrả nợ_1,numeric__Giá trị,numeric__Số có khả năngtrả nợ,numeric__Tăng,numeric__Giảm,numeric__Giá trị_1,numeric__Số có khả năngtrả nợ_1
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,2.817.045.890.836,2.817.045.890.836,5.834.527.206.413,5.679.384.804.243,2.661.903.488.666,2.661.903.488.666,2817045890836.0,2817045890836.0,5834527206413.0,5679384804243.0,2661903488666.0,2661903488666.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,1.012.705.619.603,1.012.705.619.603,4.378.288.358.983,4.510.481.727.943,1.144.898.988.563,1.144.898.988.563,1012705619603.0,1012705619603.0,4378288358983.0,4510481727943.0,1144898988563.0,1144898988563.0
- Các khoản đi vay,- Các khoản đi vay,- Các khoản đi vay,1.012.705.619.603,1.012.705.619.603,4.378.288.358.983,4.510.481.727.943,1.144.898.988.563,1.144.898.988.563,1012705619603.0,1012705619603.0,4378288358983.0,4510481727943.0,1144898988563.0,1144898988563.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,,,-,-,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
Nợ dài hạn đến hạn trả,- Trái phiếu phát hành > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,1.804.340.271.233,1.804.340.271.233,1.456.238.847.430,1.168.903.076.300,1.517.004.500.103,1.517.004.500.103,1804340271233.0,1804340271233.0,1456238847430.0,1168903076300.0,1517004500103.0,1517004500103.0
- Các khoản đi vay,- Trái phiếu phát hành > - Các khoản đi vay,- Các khoản đi vay,1.804.340.271.233,1.804.340.271.233,1.456.238.847.430,1.168.903.076.300,1.517.004.500.103,1.517.004.500.103,1804340271233.0,1804340271233.0,1456238847430.0,1168903076300.0,1517004500103.0,1517004500103.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,,,-,-,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
b. Dài hạn,- Trái phiếu phát hành > b. Dài hạn,b. Dài hạn,4.595.715.762.064,4.595.715.762.064,293.148.969.081,2.040.976.988.691,6.343.543.781.674,6.343.543.781.674,4595715762064.0,4595715762064.0,293148969081.0,2040976988691.0,6343543781674.0,6343543781674.0
- Các khoản đi vay,- Trái phiếu phát hành > - Các khoản đi vay,- Các khoản đi vay,4.595.715.762.064,4.595.715.762.064,293.148.969.081,2.040.976.988.691,6.343.543.781.674,6.343.543.781.674,4595715762064.0,4595715762064.0,293148969081.0,2040976988691.0,6343543781674.0,6343543781674.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,-,,-,-,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
Cộng,- Trái phiếu phát hành > Cộng,Cộng,7.412.761.652.900,7.412.761.652.900,6.127.676.175.494,7.720.361.792.934,9.005.447.270.340,9.005.447.270.340,7412761652900.0,7412761652900.0,6127676175494.0,7720361792934.0,9005447270340.0,9005447270340.0
