row_label_raw,row_label_full,09. Chi phí quản lý doanh nghiệp,Năm 2022,Năm 2021,numeric__Năm 2022,numeric__Năm 2021
- Chi phí nhân viên,- Chi phí nhân viên,- Chi phí nhân viên,944.515.302.171,974.285.459.894,944515302171.0,974285459894.0
- Chi phí vật liệu,- Chi phí vật liệu,- Chi phí vật liệu,49.269.516.561,37.877.651.959,49269516561.0,37877651959.0
"- Chi phí dụng cụ, đồ dùng","- Chi phí dụng cụ, đồ dùng","- Chi phí dụng cụ, đồ dùng",33.630.848.117,19.488.772.585,33630848117.0,19488772585.0
- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,84.705.906.711,87.010.456.193,84705906711.0,87010456193.0
"- Thuế, phí và lệ phí","- Thuế, phí và lệ phí","- Thuế, phí và lệ phí",48.131.709.200,35.227.021.151,48131709200.0,35227021151.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,148.872.716.346,109.953.166.428,148872716346.0,109953166428.0
- Trích Quỹ khoa học công nghệ,- Trích Quỹ khoa học công nghệ,- Trích Quỹ khoa học công nghệ,28.393.508.261,4.216.194.173,28393508261.0,4216194173.0
- Chi phí dự phòng,- Chi phí dự phòng,- Chi phí dự phòng,(57.784.928.861),-3.742.548.033,-57784928861.0,-3742548033.0
- Chi phí khác (*),- Chi phí khác (*),- Chi phí khác (*),484.593.546.555,417.663.112.612,484593546555.0,417663112612.0
Cộng,Cộng,Cộng,1.764.328.125.061,1.681.979.286.962,1764328125061.0,1681979286962.0
