row_label_raw,row_label_full,15. Tài sản dở dang dài hạn,31/12/2022,01/01/2022,numeric__31/12/2022,numeric__01/01/2022
"- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn",192.745.439.256,187.354.198.520,192745439256.0,187354198520.0
- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,11.901.901.161.896,14.542.004.936.468,11901901161896.0,14542004936468.0
+ Vườn cây cao su KTCB,+ Vườn cây cao su KTCB,+ Vườn cây cao su KTCB,10.058.185.359.860,12.511.566.019.142,10058185359860.0,12511566019142.0
+ Vườn cây khác,+ Vườn cây khác,+ Vườn cây khác,55.386.383.853,56.119.039.111,55386383853.0,56119039111.0
"+ Nhà máy, dây chuyển chế biến cao su","+ Nhà máy, dây chuyển chế biến cao su","+ Nhà máy, dây chuyển chế biến cao su",105.764.472.884,143.944.573.336,105764472884.0,143944573336.0
"+ Đường giao thông, đập thủy lợi","+ Đường giao thông, đập thủy lợi","+ Đường giao thông, đập thủy lợi",100.887.774.981,61.273.255.351,100887774981.0,61273255351.0
"+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng",674.180.517.626,911.103.889.461,674180517626.0,911103889461.0
+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,3.175.233.632,18.798.869.022,3175233632.0,18798869022.0
+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,904.321.419.060,839.199.291.045,904321419060.0,839199291045.0
Cộng,Cộng,Cộng,12.094.646.601.152,14.729.359.134.988,12094646601152.0,14729359134988.0
