row_label_raw,row_label_full,06.1 Phải thu ngắn hạn khác,31/12/2022,01/01/2022,numeric__31/12/2022,numeric__01/01/2022
- Lãi vay phải thu về cho vay,- Lãi vay phải thu về cho vay,- Lãi vay phải thu về cho vay,134.376.534.169,77.639.815.340,134376534169.0,77639815340.0
- Lãi dự thu,- Lãi dự thu,- Lãi dự thu,146.370.265.225,181.815.510.919,146370265225.0,181815510919.0
- Tạm ứng,- Tạm ứng,- Tạm ứng,100.739.072.584,126.658.332.359,100739072584.0,126658332359.0
"- Cảm cố, ký quỹ, ký cược","- Cảm cố, ký quỹ, ký cược","- Cảm cố, ký quỹ, ký cược",31.073.394.440,20.934.352.053,31073394440.0,20934352053.0
- Phải thu về cố tức và lợi nhuận được chia,- Phải thu về cố tức và lợi nhuận được chia,- Phải thu về cố tức và lợi nhuận được chia,30.879.643.490,18.158.650.432,30879643490.0,18158650432.0
- Phải thu người lao động,- Phải thu người lao động,- Phải thu người lao động,52.828.985.707,34.397.002.468,52828985707.0,34397002468.0
- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,12.451.428.849,2.562.778.973,12451428849.0,2562778973.0
- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,19.692.510.735,13.799.351.932,19692510735.0,13799351932.0
- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,494.548.894.560,709.367.707.338,494548894560.0,709367707338.0
Cộng,Cộng,Cộng,1.022.960.729.759,1.185.333.501.814,1022960729759.0,1185333501814.0
