row_label_raw,row_label_full,24.2. Chi tiết vốn góp của chủ sở hữu,31/12/2022,01/01/2022,numeric__31/12/2022,numeric__01/01/2022
Vốn đầu tư của Nhà nước,Vốn đầu tư của Nhà nước,Vốn đầu tư của Nhà nước,38.708.428.190.000,38.708.428.190.000,38708428190000.0,38708428190000.0
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,1.291.571.810.000,1.291.571.810.000,1291571810000.0,1291571810000.0
Cộng,Cộng,Cộng,40.000.000.000.000,40.000.000.000.000,40000000000000.0,40000000000000.0
24.3. Các giao dịch về vốn với các chủ sở hữu,24.3. Các giao dịch về vốn với các chủ sở hữu,24.3. Các giao dịch về vốn với các chủ sở hữu,Năm 2022,Năm 2022 Trước KT,,
+ Vốn góp đầu năm,24.3. Các giao dịch về vốn với các chủ sở hữu > + Vốn góp đầu năm,+ Vốn góp đầu năm,40.000.000.000.000,40.000.000.000.000,40000000000000.0,40000000000000.0
+ Vốn góp cuối kỳ,24.3. Các giao dịch về vốn với các chủ sở hữu > + Vốn góp cuối kỳ,+ Vốn góp cuối kỳ,40.000.000.000.000,40.000.000.000.000,40000000000000.0,40000000000000.0
24.4. Các quỹ của Tập đoàn,24.4. Các quỹ của Tập đoàn,24.4. Các quỹ của Tập đoàn,31/12/2022,01/01/2022,,
Quỹ đầu tư phát triển,24.4. Các quỹ của Tập đoàn > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,5.089.160.674.135,4.133.367.632.585,5089160674135.0,4133367632585.0
Quỹ khác thuộc vốn chủ sở hữu,24.4. Các quỹ của Tập đoàn > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,252.909.421,1.264.574.242,252909421.0,1264574242.0
Cộng,24.4. Các quỹ của Tập đoàn > Cộng,Cộng,5.089.413.583.556,4.134.632.206.827,5089413583556.0,4134632206827.0
24.5. Chênh lệch đánh giá lại tài sản,24.5. Chênh lệch đánh giá lại tài sản,24.5. Chênh lệch đánh giá lại tài sản,31/12/2022,01/01/2022,,
Chênh lệch đánh giá lại tài sản do cổ phần hóa,24.5. Chênh lệch đánh giá lại tài sản > Chênh lệch đánh giá lại tài sản do cổ phần hóa,Chênh lệch đánh giá lại tài sản do cổ phần hóa,(1.574.186.166.104),(1.577.764.667.264),-1574186166104.0,-1577764667264.0
Cộng,24.5. Chênh lệch đánh giá lại tài sản > Cộng,Cộng,(1.574.186.166.104),(1.577.764.667.264),-1574186166104.0,-1577764667264.0
24.6. Chênh lệch tỷ giá hối đoái,24.6. Chênh lệch tỷ giá hối đoái,24.6. Chênh lệch tỷ giá hối đoái,31/12/2022,01/01/2022,,
Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,24.6. Chênh lệch tỷ giá hối đoái > Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,253.777.611.514,446.867.085.315,253777611514.0,446867085315.0
Cộng,24.6. Chênh lệch tỷ giá hối đoái > Cộng,Cộng,253.777.611.514,446.867.085.315,253777611514.0,446867085315.0
25. Nguồn kinh phí,25. Nguồn kinh phí,25. Nguồn kinh phí,31/12/2022,01/01/2022,,
- Nguồn kinh phí đầu năm,25. Nguồn kinh phí > - Nguồn kinh phí đầu năm,- Nguồn kinh phí đầu năm,(37.991.052.791),(103.762.566.063),-37991052791.0,-103762566063.0
- Nguồn kinh phí được cấp trong năm,25. Nguồn kinh phí > - Nguồn kinh phí được cấp trong năm,- Nguồn kinh phí được cấp trong năm,86.972.926.119,122.381.085.890,86972926119.0,122381085890.0
