row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyền dân,Thiết bịdụng cụ quản lý,Vườn câykinh doanh,Tài sảncó định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyền dân,numeric__Thiết bịdụng cụ quản lý,numeric__Vườn câykinh doanh,numeric__Tài sảncó định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.879.139.707.635,6.131.615.160.604,1.965.635.661.583,207.744.876.402,28.701.218.364.584,106.008.165.032,48.991.361.935.839,11879139707635.0,6131615160604.0,1965635661583.0,207744876402.0,28701218364584.0,106008165032.0,48991361935839.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,173.994.111.350,124.087.887.417,123.863.676.991,78.331.035.727,-,82.000.000,500.358.711.485,173994111350.0,124087887417.0,123863676991.0,78331035727.0,,82000000.0,500358711485.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,396.125.448.983,35.664.323.608,14.456.670.415,458.415.185,3.050.030.866.279,3.637.921.334,3.500.373.645.804,396125448983.0,35664323608.0,14456670415.0,458415185.0,3050030866279.0,3637921334.0,3500373645804.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,8.106.372.332,1.243.286.276,619.641.800,-,18.263.125.143,3.237.845,28.235.663.396,8106372332.0,1243286276.0,619641800.0,,18263125143.0,3237845.0,28235663396.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(92.762.219.997),(18.671.767.155),(13.327.482.297),(1.250.667.706),(150.100.487.505),-,(276.112.624.660),-92762219997.0,-18671767155.0,-13327482297.0,-1250667706.0,-150100487505.0,,-276112624660.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,114.940.405,1.672.010.853,-,-,188.172.637,-,1.975.123.895,114940405.0,1672010853.0,,,188172637.0,,1975123895.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(10.746.077.760),(17.804.435.901),(28.798.586.101),(2.267.790.033),(358.784.410.774),-,(418.401.300.569),-10746077760.0,-17804435901.0,-28798586101.0,-2267790033.0,-358784410774.0,,-418401300569.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(3.888.476.091),(1.631.535.302),(15.726.881.803),(284.623.591),(26.134.112.672),(9.812.096.151),(57.477.725.610),-3888476091.0,-1631535302.0,-15726881803.0,-284623591.0,-26134112672.0,-9812096151.0,-57477725610.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,(228.772.511),69.053.394,(1.600.028.500),(215.376.278),-,-,(1.975.123.895),-228772511.0,69053394.0,-1600028500.0,-215376278.0,,,-1975123895.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.349.855.034.346,6.256.243.983.794,2.045.122.672.088,282.515.869.706,31.234.681.517.692,99.919.228.060,52.268.338.305.685,12349855034346.0,6256243983794.0,2045122672088.0,282515869706.0,31234681517692.0,99919228060.0,52268338305685.0
Giá trị hao mòn lây kế,Giá trị hao mòn lây kế,Giá trị hao mòn lây kế,,,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lây kế > Số dư đầu năm,Số dư đầu năm,6.285.755.887.007,3.682.531.878.581,1.349.303.219.868,172.620.495.736,4.986.324.047.625,77.561.548.356,16.554.097.077.173,6285755887007.0,3682531878581.0,1349303219868.0,172620495736.0,4986324047625.0,77561548356.0,16554097077173.0
- Khấu hao trong năm,Giá trị hao mòn lây kế > - Khấu hao trong năm,- Khấu hao trong năm,593.584.101.257,354.482.531.106,115.247.794.293,78.310.169.794,1.173.477.653.674,4.404.489.945,2.319.506.740.069,593584101257.0,354482531106.0,115247794293.0,78310169794.0,1173477653674.0,4404489945.0,2319506740069.0
- Tăng khác,Giá trị hao mòn lây kế > - Tăng khác,- Tăng khác,9.293.681.957,1.923.454.233,1.966.360.693,10.197.230,5.068.111.984,-,18.261.806.097,9293681957.0,1923454233.0,1966360693.0,10197230.0,5068111984.0,,18261806097.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lây kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(57.349.233.387),(10.203.429.734),(10.738.409.622),(590.815.990),(104.692.528.298),545.444,(183.573.871.587),-57349233387.0,-10203429734.0,-10738409622.0,-590815990.0,-104692528298.0,545444.0,-183573871587.0
- Tăng do phân loại lại,Giá trị hao mòn lây kế > - Tăng do phân loại lại,- Tăng do phân loại lại,614.463.607,-,19.555.583,-,2.442.723.015,-,3.076.742.205,614463607.0,,19555583.0,,2442723015.0,,3076742205.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lây kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(9.031.291.263),(17.372.448.710),(28.219.759.705),(2.880.590.033),(188.265.202.896),-,(245.769.292.607),-9031291263.0,-17372448710.0,-28219759705.0,-2880590033.0,-188265202896.0,,-245769292607.0
- Giảm khác,Giá trị hao mòn lây kế > - Giảm khác,- Giảm khác,(1.384.363.023),(1.409.250.621),(6.193.403.802),(383.191.770),-,(9.692.643.670),(19.062.852.886),-1384363023.0,-1409250621.0,-6193403802.0,-383191770.0,,-9692643670.0,-19062852886.0
- Giảm do phân loại lại,Giá trị hao mòn lây kế > - Giảm do phân loại lại,- Giảm do phân loại lại,-,(937.976.267),(2.047.568.943),(71.641.412),(19.555.583),-,(3.076.742.205),,-937976267.0,-2047568943.0,-71641412.0,-19555583.0,,-3076742205.0
