row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh mủ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bắt động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh diện năng,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh mủ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bắt động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh diện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,18.109.365.223.336,790.491.799.380,3.930.385.935.333,923.809.242.369,783.157.072,709.477.240.167,961.631.014.413,-,25.425.943.612.070,18109365223336.0,790491799380.0,3930385935333.0,923809242369.0,783157072.0,709477240167.0,961631014413.0,,25425943612070.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),(2.410.880.841.188),-,22.851.662.319,2.334.544.307,-,(17.157.844),380.019.759.534,2.005.692.032.872,-,-2410880841188.0,,22851662319.0,2334544307.0,,-17157844.0,380019759534.0,2005692032872.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,15.698.484.382.148,790.491.799.380,3.953.237.597.652,926.143.786.676,783.157.072,709.460.082.323,1.341.650.773.947,2.005.692.032.872,25.425.943.612.070,15698484382148.0,790491799380.0,3953237597652.0,926143786676.0,783157072.0,709460082323.0,1341650773947.0,2005692032872.0,25425943612070.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,
Khẩu hao tài sản cố định,Kết quả hoạt động kinh doanh > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,1.465.844.995.721,92.041.792.674,175.740.926.998,27.697.431.432,(2.078.838.597),130.377.855.572,2.788.716.593,-,1.892.412.880.393,1465844995721.0,92041792674.0,175740926998.0,27697431432.0,-2078838597.0,130377855572.0,2788716593.0,,1892412880393.0
Phần được chia từ lãi/(lỗ) của công ty liên kết,Kết quả hoạt động kinh doanh > Phần được chia từ lãi/(lỗ) của công ty liên kết,Phần được chia từ lãi/(lỗ) của công ty liên kết,38.102.129.199,-,119.293.262.894,46.194.230.738,-,-,-,-,203.589.622.831,38102129199.0,,119293262894.0,46194230738.0,,,,,203589622831.0
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),3.086.920.284.053,(54.955.973.081),451.155.955.998,513.973.561.098,(10.699.517.687),337.240.041.386,(234.835.701.784),102.853.644.685,4.191.652.294.668,3086920284053.0,-54955973081.0,451155955998.0,513973561098.0,-10699517687.0,337240041386.0,-234835701784.0,102853644685.0,4191652294668.0
Tổng tài sản (3),Kết quả hoạt động kinh doanh > Tổng tài sản (3),Tổng tài sản (3),50.563.882.400.191,1.009.910.661.457,3.221.814.583.833,6.607.942.306.986,39.427.910.788,2.490.212.416.972,4.487.007.455.821,(5.970.521.748.366),62.449.675.987.682,50563882400191.0,1009910661457.0,3221814583833.0,6607942306986.0,39427910788.0,2490212416972.0,4487007455821.0,-5970521748366.0,62449675987682.0
Tổng nợ phải trả (4),Kết quả hoạt động kinh doanh > Tổng nợ phải trả (4),Tổng nợ phải trả (4),10.507.804.788.969,281.707.617.991,450.113.986.068,10.049.403.988.786,10.850.289.656,97.822.017.237,578.419.118.230,(5.099.554.382.733),16.876.567.424.204,10507804788969.0,281707617991.0,450113986068.0,10049403988786.0,10850289656.0,97822017237.0,578419118230.0,-5099554382733.0,16876567424204.0
