row_label_raw,row_label_full,"07. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",Năm 2022,Năm 2021,numeric__Năm 2022,numeric__Năm 2021
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,23.322.607.707,21.762.399.556,23322607707.0,21762399556.0
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,(622.867.430),(651.199.966),-622867430.0,-651199966.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,14.528.464.415,(2.194.815.889),14528464415.0,-2194815889.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,8.229.201.992,6.646.541.825,8229201992.0,6646541825.0
Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,120.402.866.123,268.315.617.442,120402866123.0,268315617442.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,3.151.025.751,4.899.552.508,3151025751.0,4899552508.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,8.988.904.279,10.473.663.701,8988904279.0,10473663701.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,115.125.141,182.632.612,115125141.0,182632612.0
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,307.269.096,342.863.629,307269096.0,342863629.0
Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,(24.016.314.827),(26.011.899.263),-24016314827.0,-26011899263.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,(1.109.603.229),5.279.630,-1109603229.0,5279630.0
Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,(1.168.517),(660.042),-1168517.0,-660042.0
Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,33.497.261.641,107.582.592,33497261641.0,107582592.0
Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,16.796.850.689,1.575.719.018,16796850689.0,1575719018.0
,,,203.589.622.831,285.453.277.353,203589622831.0,285453277353.0
