row_label_raw,row_label_full,col_0,col_1,VND,VND_1,numeric__col_1,numeric__VND,numeric__VND_1
Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Thu nhập từ bán cây cao su thanh lý,131.921.970.259,53.779.519.110,,131921970259.0,53779519110.0
Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Bán hàng hóa dịch vụ,1.089.949.332,,,1089949332.0,
Công ty CP Chi sợi Cao su VRG Sa do,Công ty CP Chi sợi Cao su VRG Sa do,Công ty CP Chi sợi Cao su VRG Sa do,Bán hàng hóa dịch vụ,,36.568.326.000,,,36568326000.0
Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Bán hàng hóa dịch vụ,2.135.332.000,,,2135332000.0,
Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Thu nhập từ bán cây cao su thanh lý,23.880.686.778,1.115.895.000,,23880686778.0,1115895000.0
Công ty CP KD BOT Đường ĐT.741,Công ty CP KD BOT Đường ĐT.741,Công ty CP KD BOT Đường ĐT.741,Bán hàng hóa dịch vụ,190.099.048,120.485.712,,190099048.0,120485712.0
Công ty CP Thống Nhất,Công ty CP Thống Nhất,Công ty CP Thống Nhất,Bán hàng hóa dịch vụ,225.728.545,147.901.400,,225728545.0,147901400.0
Xí Nghiệp liên doanh Visorutex,Xí Nghiệp liên doanh Visorutex,Xí Nghiệp liên doanh Visorutex,Bán hàng hóa dịch vụ,177.120.000,,,177120000.0,
Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty CP Cao su Dầu Tiếng Việt Lào,Bán hàng hóa dịch vụ,638.649.467,,,638649467.0,
Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Bán hàng hóa dịch vụ,,6.881.515.026,,,6881515026.0
Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Thu nhập từ bán cây cao su thanh lý,35.056.065.094,,,35056065094.0,
