row_label_raw,row_label_full,Khoản mục,"Máy móc, thiết bị",Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.251.200.000,1.251.200.000,1251200000.0,1251200000.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,615.740.741,615.740.741,615740741.0,615740741.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.866.940.741,1.866.940.741,1866940741.0,1866940741.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,(338.866.671),(338.866.671),-338866671.0,-338866671.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,(364.274.814),(364.274.814),-364274814.0,-364274814.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,(703.141.485),(703.141.485),-703141485.0,-703141485.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,912.333.329,912.333.329,912333329.0,912333329.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,1.163.799.256,1.163.799.256,1163799256.0,1163799256.0
