row_label_raw,row_label_full,col_0,31/12/2022 > Giá gốc,31/12/2022 > Điều chỉnh theo phương pháp VCSH,31/12/2022 > Giá trị hợp lý,01/01/2022 > Giá gốc,01/01/2022 > Điều chỉnh theo phương pháp VCSH,01/01/2022 > Giá trị hợp lý,numeric__31/12/2022 > Giá gốc,numeric__31/12/2022 > Điều chỉnh theo phương pháp VCSH,numeric__31/12/2022 > Giá trị hợp lý,numeric__01/01/2022 > Giá gốc,numeric__01/01/2022 > Điều chỉnh theo phương pháp VCSH,numeric__01/01/2022 > Giá trị hợp lý
"02.2. Đầu tư vào công ty liên doanh, liên kết","02.2. Đầu tư vào công ty liên doanh, liên kết","02.2. Đầu tư vào công ty liên doanh, liên kết",1.995.367.727.159,436.019.846.374,2.431.387.573.533,2.028.396.288.412,301.387.142.390,2.329.783.430.802,1995367727159.0,436019846374.0,2431387573533.0,2028396288412.0,301387142390.0,2329783430802.0
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,48.139.152.723,40.263.906.391,88.403.059.114,48.139.152.723,33.529.805.112,81.668.957.835,48139152723.0,40263906391.0,88403059114.0,48139152723.0,33529805112.0,81668957835.0
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,8.749.737.281,(3.423.149.899),5.326.587.382,8.749.737.281,(2.800.282.469),5.949.454.812,8749737281.0,-3423149899.0,5326587382.0,8749737281.0,-2800282469.0,5949454812.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,58.397.844.479,36.005.794.005,94.403.638.484,58.397.844.479,31.400.153.222,89.797.997.701,58397844479.0,36005794005.0,94403638484.0,58397844479.0,31400153222.0,89797997701.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,26.350.000.000,27.399.152.913,53.749.152.913,26.350.000.000,19.169.950.921,45.519.950.921,26350000000.0,27399152913.0,53749152913.0,26350000000.0,19169950921.0,45519950921.0
Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,1.004.392.840.663,422.407.643.319,1.426.800.483.982,1.004.392.840.663,302.004.777.197,1.306.397.617.860,1004392840663.0,422407643319.0,1426800483982.0,1004392840663.0,302004777197.0,1306397617860.0
Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,,,,33.028.561.253,26.126.124.602,59.154.685.855,,,,33028561253.0,26126124602.0,59154685855.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,95.141.496.684,(68.647.069.116),26.494.427.568,95.141.496.684,(61.789.871.349),33.351.625.335,95141496684.0,-68647069116.0,26494427568.0,95141496684.0,-61789871349.0,33351625335.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,57.440.573.000,44.074.436.858,101.515.009.858,57.440.573.000,44.675.825.341,102.116.398.341,57440573000.0,44074436858.0,101515009858.0,57440573000.0,44675825341.0,102116398341.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,9.768.852.055,(2.113.987.179),7.654.864.876,9.768.852.055,(1.891.134.722),7.877.717.333,9768852055.0,-2113987179.0,7654864876.0,9768852055.0,-1891134722.0,7877717333.0
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,36.000.000.000,1.315.254.010,37.315.254.010,36.000.000.000,-,36.000.000.000,36000000000.0,1315254010.0,37315254010.0,36000000000.0,,36000000000.0
Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,150.850.230.247,(200.535.179.536),(49.684.949.289),150.850.230.247,(176.518.864.709),(25.668.634.462),150850230247.0,-200535179536.0,-49684949289.0,150850230247.0,-176518864709.0,-25668634462.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,8.086.578.953,(1.450.401.097),6.636.177.856,8.086.578.953,(340.797.868),7.745.781.085,8086578953.0,-1450401097.0,6636177856.0,8086578953.0,-340797868.0,7745781085.0
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,4.176.773.239,(257.064.767),3.919.708.472,4.176.773.239,(257.064.767),3.919.708.472,4176773239.0,-257064767.0,3919708472.0,4176773239.0,-257064767.0,3919708472.0
Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,80.000.000.000,15.684.994,80.015.684.994,80.000.000.000,16.193.471,80.016.193.471,80000000000.0,15684994.0,80015684994.0,80000000000.0,16193471.0,80016193471.0
Công ty cổ phần cao su Đầu Tiếng Việt Lào,Công ty cổ phần cao su Đầu Tiếng Việt Lào,Công ty cổ phần cao su Đầu Tiếng Việt Lào,368.345.953.553,35.368.891.452,403.714.845.005,368.345.953.553,1.654.766.309,370.000.719.862,368345953553.0,35368891452.0,403714845005.0,368345953553.0,1654766309.0,370000719862.0
Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,39.527.694.282,105.595.934.026,145.123.628.308,39.527.694.282,86.407.562.099,125.935.256.381,39527694282.0,105595934026.0,145123628308.0,39527694282.0,86407562099.0,125935256381.0
