row_label_raw,row_label_full,20.2. Chi phí phải trả dài hạn,31/12/2022,01/01/2022,numeric__31/12/2022,numeric__01/01/2022
- Chi phí khác,- Chi phí khác,- Chi phí khác,264.473.290.729,101.771.974.346,264473290729.0,101771974346.0
Cộng,Cộng,Cộng,264.473.290.729,101.771.974.346,264473290729.0,101771974346.0
