row_label_raw,row_label_full,Tình trạng hồ sơ,Số hồ sơ,Nợ gốc,Nợ lãi,numeric__Số hồ sơ,numeric__Nợ gốc,numeric__Nợ lãi
"Hồ sơ đã khởi kiện, chuyển Tòa án","Hồ sơ đã khởi kiện, chuyển Tòa án","Hồ sơ đã khởi kiện, chuyển Tòa án",42,522.778.659.676,1.088.825.860.877,42.0,522778659676.0,1088825860877.0
"Hồ sơ tin dụng khởi kiện, đã có bản án, phương án","Hồ sơ tin dụng khởi kiện, đã có bản án, phương án","Hồ sơ tin dụng khởi kiện, đã có bản án, phương án",11,2.000.000.000,92.247.083.564,11.0,2000000000.0,92247083564.0
Hồ sơ tin dụng Tòa án đang thụ lý chưa có bản án,Hồ sơ tin dụng Tòa án đang thụ lý chưa có bản án,Hồ sơ tin dụng Tòa án đang thụ lý chưa có bản án,23,473.512.284.877,944.399.106.783,23.0,473512284877.0,944399106783.0
Hồ sơ tin dụng đã có bản án nhưng chưa thi hành án,Hồ sơ tin dụng đã có bản án nhưng chưa thi hành án,Hồ sơ tin dụng đã có bản án nhưng chưa thi hành án,4,12.334.454.598,46.648.407.500,4.0,12334454598.0,46648407500.0
Hồ sơ tin dụng Tòa án đã đình chi khởi kiện do hết hiệu lực khởi kiện,Hồ sơ tin dụng Tòa án đã đình chi khởi kiện do hết hiệu lực khởi kiện,Hồ sơ tin dụng Tòa án đã đình chi khởi kiện do hết hiệu lực khởi kiện,4,34.931.920.201,5.531.263.030,4.0,34931920201.0,5531263030.0
Hồ sơ tại cơ quan thi hành án,Hồ sơ tại cơ quan thi hành án,Hồ sơ tại cơ quan thi hành án,138,216.594.016.346,851.011.671.580,138.0,216594016346.0,851011671580.0
Hồ sơ trong giai đoạn phát mãi tài sản để thi hành án,Hồ sơ trong giai đoạn phát mãi tài sản để thi hành án,Hồ sơ trong giai đoạn phát mãi tài sản để thi hành án,48,206.371.681.976,518.494.230.217,48.0,206371681976.0,518494230217.0
Hồ sơ tại cơ quan thi hành án,Hồ sơ tại cơ quan thi hành án,Hồ sơ tại cơ quan thi hành án,7,669.136.214,1.590.015.605,7.0,669136214.0,1590015605.0
nhưng không có tài thế chấp,nhưng không có tài thế chấp,nhưng không có tài thế chấp,,,,,,
Hồ sơ tin dụng tại cơ quan thi,nhưng không có tài thế chấp > Hồ sơ tin dụng tại cơ quan thi,Hồ sơ tin dụng tại cơ quan thi,4,19.458.817,3.379.389.231,4.0,19458817.0,3379389231.0
Hồ sơ tin dụng đã phát mãi hết tài sản,nhưng không có tài thế chấp > Hồ sơ tin dụng đã phát mãi hết tài sản,Hồ sơ tin dụng đã phát mãi hết tài sản,79,9.533.739.339,327.548.036.527,79.0,9533739339.0,327548036527.0
Hồ sơ chưa khởi kiện,nhưng không có tài thế chấp > Hồ sơ chưa khởi kiện,Hồ sơ chưa khởi kiện,3,1.340.000.000,1.210.413.385,3.0,1340000000.0,1210413385.0
,,,183,740.712.676.022,1.941.047.945.842,183.0,740712676022.0,1941047945842.0
