row_label_raw,row_label_full,Stt,"Tên công tyliên kết, liên doanh",Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,"numeric__Tên công tyliên kết, liên doanh",numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
5,5,5,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,"Km 72+000, đường ĐT.741, ấp Thuận Hải, xã Thuận Phú, huyện Đồng Phú, tỉnh Bình Phước","16,93%","20,54%",Sản xuất bê tông và các sản phẩm từ xỉ măng và thạch cao; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ,,,0.1693,0.2054,
6,6,6,Công ty Cổ phần gỗ MDF VRG Dongwha,"Lô G, Khu công nghiệp Minh Hưng III, xã Minh Hung, huyện Chơn Thành, Tỉnh Bình Phước","49,00%","49,00%","Trồng rừng, khai thác, chế biến gỗ, đảm nguyên liệu; Sản xuất, kinh doanh gỗ nhân tạo MDF, hóa chất phục vụ ngành gỗ",,,0.49,0.49,
7,7,7,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,"Số 636 đường Võ Văn Kiệt, phường 1, quận 5, TP. Hồ Chí MinhLô B3,1 KCN Tây Bắc Củ Chi, TP. Hồ Chí Minh","27,14%","27,14%","Khai hoang, trồng mới, chăm sóc, khai thác, chế biến và mua bán các sản phẩm từ cây cao sư; sản xuất mua bán, chế biến nông lâm sản xuất khẩu",,,0.27140000000000003,0.27140000000000003,
8,8,8,Công ty Cổ phần Cao su Bến Thành,,"48,85%","48,85%","Sản xuất và nua bán sản phẩm cao sư; Băng tải, dây curroie, cao su nguyên liệu, sản phẩm cao sư kỹ thuật",,,0.4885,0.4885,
9,9,9,Công ty Cổ phần Xây dựng Cao su Đồng Nai,"Đường số 1, ấp Trung Tâm, xã Xuân Lập, thị xã Long Khánh, tỉnh Đồng Nai","26,91%","31,13%","Xây dựng công trình dân dụng, công nghiệp, giao thông, thủy lợi; Sản xuất vát liệu xây dựng: Bêtông tươi, bêtông nhựa nóng, ống cống, cấu kiện bê tông đúc sẵn; Trồng, khai thác, chế biến và mua bán sản phẩm cây nông nghiệp và công nghiệpXây dựng công trình đường sắt và đường bộ; Xây dựng công trình giao thông; Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Đầu tư xây dựng hạ tầng khu công nghiệp",,,0.2691,0.31129999999999997,
10,10,10,Công ty Cổ phần Lộc Thịnh,"KCN Nhơn Trạch 2, Lộc Khang, xã Hiệp Phước, huyện Nhơn Trạch, tỉnh Đồng NaiLô K5, K6, K7 Đường N9A, KCN Dầu Giấy, xã Bầu Hầm 2, huyện Thông Nhất, tỉnh Đồng NaiVăn phòng Nông trường Long Thành, Khu 13, xã Long Đức, huyện Long Thành, tỉnh Đồng NaiKhu Công nghiệp Ia Khurol, thônTân Lập, xã Ia Khurol, huyện Chư Pãh, tỉnh Gia Lai","32,59%","32,59%","Xây dựng công trình dân dụng, công nghiệp, giao thông, thủy lợi; Sản xuất vát liệu xây dựng: Bêtông tươi, bêtông nhựa nóng, ống cống, cấu kiện bê tông đúc sẵn; Trồng, khai thác, chế biến và mua bán sản phẩm cây nông nghiệp và công nghiệpXây dựng công trình đường sắt và đường bộ; Xây dựng công trình giao thông; Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Đầu tư xây dựng hạ tầng khu công nghiệp",,,0.3259,0.3259,
11,11,11,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,,"49,06%","49,06%","Sản xuất sợi nhân tạo, sản xuất sản phẩm khác từ cao sư Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ",,,0.49060000000000004,0.49060000000000004,
12,12,12,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,,"8,46%","20,00%","Sản xuất sợi nhân tạo, sản xuất sản phẩm khác từ cao sư Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ",,,0.08460000000000001,0.2,
13,13,13,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,"Tân Lập, xã Ia Khurol, huyện Chư Pãh, tỉnh Gia Lai","34,32%","34,32%","Khai thác gỗ; Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rom, rạ và vật liệu tert bênKhai thác khoáng hoá chất và khoáng phân bón; Thuất nước và xử lý nước thải Xây dựng công trình kỹ thuật dân dụng",,,0.3432,0.3432,
14,14,14,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,"Số 16 Võ Liêm Sơn, TP. Hà Tĩnh,tỉnh Hà Tĩnh","36,00%","36,00%","Khai thác gỗ; Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rom, rạ và vật liệu tert bênKhai thác khoáng hoá chất và khoáng phân bón; Thuất nước và xử lý nước thải Xây dựng công trình kỹ thuật dân dụng",,,0.36,0.36,
